timestamp,iface,fpga_ip,fpga_ctrl_port,fpga_data_port,local_port,requested_packets,payload_size,sent_packets,send_errors,drained_packets,elapsed_s,payload_mbps,estimated_wire_mbps,iface_tx_packets_delta,iface_rx_packets_delta,iface_tx_bytes_delta,iface_rx_bytes_delta,iface_tx_errors_delta,iface_rx_errors_delta,iface_tx_dropped_delta,iface_rx_dropped_delta,ip_in_receives_delta,ip_in_discards_delta,ip_out_requests_delta,ip_out_discards_delta,udp_out_delta,udp_in_delta,udp_no_ports_delta,udp_in_errors_delta,udp_rcvbuf_errors_delta,udp_sndbuf_errors_delta,fpga_rx_good_delta,fpga_tx_good_delta,fpga_rx_bad_delta,fpga_tx_bad_delta,fpga_rx_overflow_delta,fpga_tx_overflow_delta,fpga_bad_fcs_delta,fpga_ip_rx_header_error_delta,fpga_ip_rx_payload_error_delta,fpga_ip_invalid_header_delta,fpga_ip_invalid_checksum_delta,fpga_ip_tx_payload_error_delta,fpga_ip_tx_arp_failed_delta,fpga_udp_rx_header_error_delta,fpga_udp_rx_payload_error_delta,fpga_udp_tx_payload_error_delta,host_tx_to_fpga_rx_gap,fpga_rx_to_tx_gap,fpga_tx_to_host_rx_gap
1781661565,eth0,192.168.1.12,55555,1234,9999,1000000,1440,1000000,0,0,12.042340704,956.624653,1000.469950,1000013,999861,1482003897,1467789323,0,0,0,0,999861,0,1000013,0,1000007,5,473,999285,999285,0,999869,999861,144,0,0,0,144,0,0,0,0,0,0,0,0,0,144,8,0
1781661746,eth0,192.168.1.12,55555,1234,9999,1000000,1440,1000000,0,0,12.042473314,956.614119,1000.458933,1000013,999849,1482003897,1467771707,0,0,0,0,999849,0,1000013,0,1000007,5,464,999282,999282,0,999857,999849,156,0,0,0,156,0,0,0,0,0,0,0,0,0,156,8,0
1781661847,eth0,192.168.1.12,55555,1234,9999,1000000,1440,1000000,0,0,12.042397124,956.620171,1000.465263,1000013,999860,1482003897,1467787855,0,0,0,0,999860,0,1000013,0,1000007,5,469,999288,999288,0,999868,999860,145,0,0,0,145,0,0,0,0,0,0,0,0,0,145,8,0
1781661902,eth0,192.168.1.12,55555,1234,9999,1000000,1440,1000000,0,0,12.043351538,956.544361,1000.385977,1000013,999893,1482003897,1467836299,0,0,0,0,999893,0,1000013,0,1000007,5,396,999394,999394,0,999901,999893,112,0,0,0,112,0,0,0,0,0,0,0,0,0,112,8,0
1781661945,eth0,192.168.1.12,55555,1234,9999,1000,1440,1000,0,0,0.007500907,1535.814269,1606.205756,1013,1005,1485897,1468715,0,0,0,0,1005,0,1013,0,1007,5,399,503,503,0,1013,1005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
1781661981,eth0,192.168.1.12,55555,1234,9999,100,1440,100,0,0,0.000349810,3293.216317,3444.155399,113,104,152097,146047,0,0,0,0,104,0,113,0,107,5,91,0,0,0,112,104,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,8,0
1781662040,eth0,192.168.1.12,55555,1234,9999,10,1440,10,0,0,0.000117442,980.909726,1025.868088,23,15,18717,15395,0,0,0,0,15,0,23,0,17,5,10,0,0,0,23,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
1781662202,eth0,192.168.1.12,55555,1234,9999,1,1440,1,0,0,0.000033092,348.120392,364.075910,9,6,2429,2183,0,0,0,0,6,0,9,0,8,5,1,0,0,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
1781662216,eth0,192.168.1.12,55555,1234,9999,1,1440,1,0,0,0.000027462,419.488748,438.715316,9,6,2429,2183,0,0,0,0,6,0,9,0,8,5,1,0,0,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
1781662243,eth0,192.168.1.12,55555,1234,9999,10,1440,10,0,0,0.000056116,2052.890441,2146.981253,23,15,18717,15395,0,0,0,0,15,0,23,0,17,5,10,0,0,0,23,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
1781665382,eth0,192.168.1.12,55555,1234,9999,100,1440,100,0,0,0.000479393,2403.038843,2513.178123,107,101,151791,146943,0,0,0,0,101,0,107,0,101,1,75,0,0,0,107,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
