direction,payload_size,runs,goodput_mbps_mean,goodput_mbps_std,pps_mean,pps_std,lost_pct_mean,lost_pct_std,lost_packets_mean,lost_packets_std,theoretical_goodput_mbps,theoretical_pps
corundum-to-nic,256,10,2717.948000000,19.551630679,1327127.680000000,9547.225243528,0.000000000,0.000000000,0.000000000,0.000000000,7950.310559006,3881987.577639752
corundum-to-nic,320,10,3325.778000000,55.221928575,1299137.940000000,21571.115201182,0.000000000,0.000000000,0.000000000,0.000000000,8290.155440415,3238341.968911917
corundum-to-nic,384,10,3979.673000000,21.804822632,1295472.860000000,7097.605975132,0.000000000,0.000000000,0.000000000,0.000000000,8533.333333333,2777777.777777778
corundum-to-nic,448,10,4525.106000000,253.634746664,1262591.540000000,70769.356578555,0.000000000,0.000000000,0.000000000,0.000000000,8715.953307393,2431906.614785992
corundum-to-nic,512,10,5100.044000000,333.748615318,1245134.180000000,81481.910059402,0.000000000,0.000000000,0.000000000,0.000000000,8858.131487889,2162629.757785467
corundum-to-nic,576,10,5889.884000000,55.595125925,1278191.960000000,12065.409174551,0.000000000,0.000000000,0.000000000,0.000000000,8971.962616822,1947040.498442368
corundum-to-nic,640,10,6558.139000000,8.287061468,1280892.420000000,1619.067436520,0.000000000,0.000000000,0.000000000,0.000000000,9065.155807365,1770538.243626062
corundum-to-nic,704,10,6957.783000000,490.253094342,1235407.960000000,87047.957779698,0.000000000,0.000000000,0.000000000,0.000000000,9142.857142857,1623376.623376623
corundum-to-nic,768,10,7577.662000000,523.445005385,1233348.460000000,85196.411655372,0.000000000,0.000000000,0.000000000,0.000000000,9208.633093525,1498800.959232614
corundum-to-nic,832,10,8343.916000000,306.213230435,1253598.660000000,46005.433182716,0.000000000,0.000000000,0.000000000,0.000000000,9265.033407572,1391982.182628062
corundum-to-nic,896,10,9112.832000000,10.641432443,1271328.080000000,1485.061839939,7.116336867,1.410096810,488405.600000000,104345.655510051,9313.929313929,1299376.299376299
corundum-to-nic,960,10,8931.384000000,409.571212861,1162946.900000000,53329.868162368,9.928054136,5.574844430,676619.600000000,388752.867745107,9356.725146199,1218323.586744639
corundum-to-nic,1024,10,9206.594000000,58.159638773,1123857.120000000,7099.680389802,16.531168724,2.144347045,1117573.800000000,172876.651080603,9394.495412844,1146788.990825688
corundum-to-nic,1088,10,9269.884000000,0.306855015,1065020.380000000,34.990214505,22.407782527,1.059072206,1538979.000000000,93477.670041804,9428.076256499,1083188.908145581
corundum-to-nic,1152,10,9307.458000000,6.031922119,1009928.860000000,654.085309081,22.765285329,7.868726201,1538093.100000000,539238.394031279,9458.128078818,1026272.577996716
corundum-to-nic,1216,10,9345.617000000,0.261578541,960697.100000000,26.768015740,27.233935898,5.737027272,1829031.400000000,440655.674025070,9485.179407176,975039.001560062
corundum-to-nic,1280,10,9377.922000000,0.983709533,915817.540000000,95.340514881,30.646817040,6.040848017,2061136.800000000,480555.248899021,9509.658246657,928677.563150074
corundum-to-nic,1344,10,9406.965000000,2.963508619,874908.440000000,275.631844637,33.171628868,4.201746811,2192488.000000000,372230.242354857,9531.914893617,886524.822695035
corundum-to-nic,1408,10,9435.203000000,1.656945315,837646.760000000,146.529414567,34.914143062,8.064004276,2316033.500000000,621944.130688289,9552.238805970,848032.564450475
corundum-to-nic,1472,10,9460.780000000,0.431148337,803399.240000000,36.473527691,40.656524162,0.704303959,2752925.000000000,80587.150821676,9570.871261378,812743.823146944
nic-to-corundum,256,10,1984.322000000,764.859940553,968912.340000000,373469.172235675,26.549898248,28.040415403,1741885.200000000,1839747.420473667,7950.310559006,3881987.577639752
nic-to-corundum,320,10,2520.026000000,1068.649527979,984390.180000000,417443.590554066,23.838675145,31.995475930,1520893.000000000,2035266.811162387,8290.155440415,3238341.968911917
nic-to-corundum,384,10,2913.645000000,1203.078526773,948457.020000000,391628.798156627,26.265665579,30.111883943,1671033.400000000,1908261.201362830,8533.333333333,2777777.777777778
nic-to-corundum,448,10,3777.860000000,1336.377195115,1054095.940000000,372874.826944605,13.587769981,28.493225915,861367.600000000,1806245.660962490,8715.953307393,2431906.614785992
nic-to-corundum,512,10,4745.123000000,1202.621307913,1158483.200000000,293610.030094493,9.551008162,22.894443591,609066.000000000,1456494.908444470,8858.131487889,2162629.757785467
nic-to-corundum,576,10,4510.581000000,1790.104756596,978863.640000000,388479.668723166,23.198845896,30.338640549,1471815.400000000,1923880.649273996,8971.962616822,1947040.498442368
nic-to-corundum,640,10,4979.829000000,1975.219419668,972628.180000000,385787.395831463,17.986422836,28.339260263,1069338.300000000,1717837.005744339,9065.155807365,1770538.243626062
nic-to-corundum,704,10,6239.792000000,1765.138872546,1107922.660000000,313413.241965897,11.944323945,23.735384053,709587.600000000,1396504.938782865,9142.857142857,1623376.623376623
