direction,payload_size,runs,goodput_mbps_mean,goodput_mbps_std,pps_mean,pps_std,lost_pct_mean,lost_pct_std,lost_packets_mean,lost_packets_std,theoretical_goodput_mbps,theoretical_pps
corundum-to-nic,256,10,2706.395000000,21.902828458,1321485.030000000,10695.737689592,0.000000000,0.000000000,0.000000000,0.000000000,7950.310559006,3881987.577639752
corundum-to-nic,320,10,3317.176000000,138.319496191,1295774.800000000,54031.466053773,0.000000000,0.000000000,0.000000000,0.000000000,8290.155440415,3238341.968911917
corundum-to-nic,384,10,3811.721000000,236.860785716,1240797.330000000,77103.049191946,0.000000000,0.000000000,0.000000000,0.000000000,8533.333333333,2777777.777777778
corundum-to-nic,448,10,4518.818000000,252.578961814,1260834.160000000,70474.457488940,0.000000000,0.000000000,0.000000000,0.000000000,8715.953307393,2431906.614785992
corundum-to-nic,512,10,5237.408000000,51.290307466,1278666.700000000,12522.066794974,0.000000000,0.000000000,0.000000000,0.000000000,8858.131487889,2162629.757785467
corundum-to-nic,576,10,5868.736000000,117.139307114,1273600.020000000,25420.564510726,0.000000000,0.000000000,0.000000000,0.000000000,8971.962616822,1947040.498442368
corundum-to-nic,640,10,6487.408000000,235.049001596,1267074.580000000,45908.458018293,0.000000000,0.000000000,0.000000000,0.000000000,9065.155807365,1770538.243626062
corundum-to-nic,704,10,7075.908000000,316.341808134,1256378.360000000,56168.627900006,0.000000000,0.000000000,0.000000000,0.000000000,9142.857142857,1623376.623376623
corundum-to-nic,768,10,7844.445000000,22.883734762,1276767.820000000,3724.385084458,0.000000000,0.000000000,0.000000000,0.000000000,9208.633093525,1498800.959232614
corundum-to-nic,832,10,8424.195000000,222.254319556,1265656.830000000,33391.964605045,0.000000000,0.000000000,0.000000000,0.000000000,9265.033407572,1391982.182628062
corundum-to-nic,896,10,8838.569000000,574.188807477,1233062.170000000,80104.968218180,6.296291471,3.474169794,868454.200000000,492200.341557017,9313.929313929,1299376.299376299
corundum-to-nic,960,10,9015.722000000,330.757498539,1173925.470000000,43067.672312770,10.448640695,5.006117496,1425779.800000000,698992.049096221,9356.725146199,1218323.586744639
corundum-to-nic,1024,10,9216.262000000,1.304384061,1125034.920000000,159.322090259,18.024071065,0.764035604,2474668.900000000,125499.059132772,9394.495412844,1146788.990825688
corundum-to-nic,1088,10,9260.381000000,0.918821105,1063925.300000000,105.830146934,21.866798738,1.213990212,2980489.000000000,208805.573190841,9428.076256499,1083188.908145581
corundum-to-nic,1152,10,9298.672000000,1.874790655,1008973.150000000,203.327083237,25.126582756,5.235976399,3437136.300000000,811381.365407722,9458.128078818,1026272.577996716
corundum-to-nic,1216,10,9333.623000000,4.149382953,959461.900000000,426.238931430,26.881975654,6.949051696,3616632.800000000,1040246.548468391,9485.179407176,975039.001560062
corundum-to-nic,1280,10,9366.302000000,1.878011951,914680.570000000,183.494880643,33.593945834,0.675858178,4628524.600000000,139182.658598293,9509.658246657,928677.563150074
corundum-to-nic,1344,10,9396.462000000,0.365050986,873929.290000000,34.108110798,34.500993556,3.254499167,4630211.600000000,601219.096946677,9531.914893617,886524.822695035
corundum-to-nic,1408,10,9423.025000000,0.888372419,836563.480000000,78.894469599,35.358220464,6.370104636,4676104.800000000,1130142.626319135,9552.238805970,848032.564450475
corundum-to-nic,1472,10,9448.239000000,0.185738765,802332.210000000,16.017313549,39.886850153,0.484784405,5324490.300000000,107229.786195659,9570.871261378,812743.823146944
nic-to-corundum,256,10,2435.478000000,547.505842177,1189201.670000000,267337.083931039,8.124386522,17.233232524,970598.200000000,2139638.030310361,7950.310559006,3881987.577639752
nic-to-corundum,320,10,2868.500000000,812.328456626,1120511.350000000,317316.444885050,10.143897702,22.994447130,1311163.200000000,2975755.589096240,8290.155440415,3238341.968911917
nic-to-corundum,384,10,2860.647000000,1319.793193362,931202.690000000,429620.945448834,27.550802738,33.310627120,3524346.300000000,4255336.359712696,8533.333333333,2777777.777777778
nic-to-corundum,448,10,4356.410000000,681.192229502,1215519.330000000,190065.501270086,5.028679180,14.810007612,642315.900000000,1891397.959543414,8715.953307393,2431906.614785992
nic-to-corundum,512,10,4856.570000000,840.161184033,1185688.930000000,205117.450989102,7.334783988,15.951228246,934858.600000000,2027308.018785349,8858.131487889,2162629.757785467
nic-to-corundum,576,10,5043.210000000,1695.675506189,1094449.570000000,367986.100379989,14.263585399,28.669634804,1803777.500000000,3623290.134024147,8971.962616822,1947040.498442368
nic-to-corundum,640,10,6044.276000000,1442.811316856,1180525.640000000,281800.105311707,7.468281517,22.057383747,950451.000000000,2806712.538484600,9065.155807365,1770538.243626062
nic-to-corundum,704,10,6328.949000000,1561.706037067,1123750.760000000,277291.924700335,11.075204291,21.089116699,1340166.400000000,2494833.294355053,9142.857142857,1623376.623376623
nic-to-corundum,768,10,6297.844000000,2374.822639385,1025042.170000000,386528.379134981,18.634189740,30.199218578,2316763.100000000,3771389.816433767,9208.633093525,1498800.959232614
nic-to-corundum,832,10,5811.613000000,2708.542350651,873141.300000000,406933.760754333,30.767644348,32.086436641,3863612.900000000,4029199.585978294,9265.033407572,1391982.182628062
nic-to-corundum,896,10,7499.565000000,2522.315799182,1046258.780000000,351886.470467734,17.266690764,27.848722311,2196935.500000000,3559219.062380094,9313.929313929,1299376.299376299
nic-to-corundum,960,10,8297.792000000,2136.220504306,1080444.840000000,278154.476334669,11.393798488,22.804974027,1388992.100000000,2780062.634679636,9356.725146199,1218323.586744639
nic-to-corundum,1024,10,7027.254000000,2282.872826093,857821.770000000,278672.045700900,22.169214230,24.533793415,2516643.800000000,2822969.199426015,9394.495412844,1146788.990825688
nic-to-corundum,1088,10,8032.131000000,2199.949180042,922811.960000000,252751.954187149,20.947176748,19.977844781,2367564.800000000,2178246.640328246,9428.076256499,1083188.908145581
nic-to-corundum,1152,10,8988.218000000,1359.424899113,975293.750000000,147509.778334750,16.964158106,11.301972309,1958739.900000000,1194668.497537143,9458.128078818,1026272.577996716
nic-to-corundum,1216,10,9436.924000000,86.154998462,970081.850000000,8856.441869466,16.977567676,1.359104437,1987016.100000000,196850.245480867,9485.179407176,975039.001560062
nic-to-corundum,1280,10,9299.208000000,398.385796930,908128.660000000,38905.308984599,21.254690612,3.627279807,2469064.900000000,505545.204453008,9509.658246657,928677.563150074
nic-to-corundum,1344,10,9315.107000000,335.126840102,866362.930000000,31169.108500852,23.325731553,8.499811635,2737983.900000000,1006226.923799161,9531.914893617,886524.822695035
nic-to-corundum,1408,10,8993.199000000,925.757517273,798404.510000000,82187.401833391,24.192131250,9.681731514,2780343.600000000,1267463.519620208,9552.238805970,848032.564450475
nic-to-corundum,1472,10,9540.212000000,125.633007057,810142.580000000,10668.549295403,32.130101761,1.234266258,3840173.900000000,245351.195485370,9570.871261378,812743.823146944
