direction,payload_size,runs,goodput_mbps_mean,goodput_mbps_std,pps_mean,pps_std,lost_pct_mean,lost_pct_std,lost_packets_mean,lost_packets_std,theoretical_goodput_mbps,theoretical_pps
corundum-to-nic,256,1,4372.365380162,0.000000000,3727634.813099088,0.000000000,42.726577567,0.000000000,9889377.000000000,0.000000000,7950.310559006,3881987.577639752
corundum-to-nic,320,1,5473.580464817,0.000000000,3238155.528930674,0.000000000,33.971134185,0.000000000,6601406.000000000,0.000000000,8290.155440415,3238341.968911917
corundum-to-nic,384,1,5764.807215771,0.000000000,2689205.751718536,0.000000000,30.218621328,0.000000000,5045741.000000000,0.000000000,8533.333333333,2777777.777777778
corundum-to-nic,448,1,8053.634697156,0.000000000,2432020.439422247,0.000000000,7.603247942,0.000000000,1109579.000000000,0.000000000,8715.953307393,2431906.614785992
corundum-to-nic,512,1,7917.300722962,0.000000000,2171996.003247528,0.000000000,11.006523772,0.000000000,1434576.000000000,0.000000000,8858.131487889,2162629.757785467
corundum-to-nic,576,1,8584.551460286,0.000000000,1862975.396439036,0.000000000,0.000456242,0.000000000,51.000000000,0.000000000,8971.962616822,1947040.498442368
corundum-to-nic,640,1,8189.985997471,0.000000000,1725464.717978763,0.000000000,7.294155397,0.000000000,781078.000000000,0.000000000,9065.155807365,1770538.243626062
corundum-to-nic,704,1,8888.820371733,0.000000000,1623353.096316419,0.000000000,2.777118165,0.000000000,270507.000000000,0.000000000,9142.857142857,1623376.623376623
corundum-to-nic,768,1,8725.742348981,0.000000000,1498034.841379876,0.000000000,5.195431961,0.000000000,466998.000000000,0.000000000,9208.633093525,1498800.959232614
corundum-to-nic,832,1,8598.314876634,0.000000000,1388409.954741931,0.000000000,6.957298189,0.000000000,579621.000000000,0.000000000,9265.033407572,1391982.182628062
corundum-to-nic,896,1,9105.648702177,0.000000000,1294689.015118436,0.000000000,1.882283733,0.000000000,146227.000000000,0.000000000,9313.929313929,1299376.299376299
corundum-to-nic,960,1,9160.194464744,0.000000000,1215439.818074702,0.000000000,1.868143817,0.000000000,136243.000000000,0.000000000,9356.725146199,1218323.586744639
corundum-to-nic,1024,1,8987.256311825,0.000000000,1129525.189467232,0.000000000,2.872711761,0.000000000,194696.000000000,0.000000000,9394.495412844,1146788.990825688
corundum-to-nic,1088,1,9251.580284649,0.000000000,1083190.366782118,0.000000000,1.872157430,0.000000000,121679.000000000,0.000000000,9428.076256499,1083188.908145581
corundum-to-nic,1152,1,9290.234945485,0.000000000,1022178.101786878,0.000000000,1.381666723,0.000000000,84742.000000000,0.000000000,9458.128078818,1026272.577996716
corundum-to-nic,1216,1,9325.059850837,0.000000000,970634.806751100,0.000000000,1.242018465,0.000000000,72336.000000000,0.000000000,9485.179407176,975039.001560062
corundum-to-nic,1280,1,9356.600525177,0.000000000,924008.060973277,0.000000000,1.112278277,0.000000000,61668.000000000,0.000000000,9509.658246657,928677.563150074
corundum-to-nic,1344,1,9385.347155644,0.000000000,881636.118222388,0.000000000,0.991675296,0.000000000,52460.000000000,0.000000000,9531.914893617,886524.822695035
corundum-to-nic,1408,1,9411.657504593,0.000000000,842967.302020456,0.000000000,0.879668978,0.000000000,44494.000000000,0.000000000,9552.238805970,848032.564450475
corundum-to-nic,1472,1,9435.792991016,0.000000000,807505.930594133,0.000000000,0.771851745,0.000000000,37398.000000000,0.000000000,9570.871261378,812743.823146944
nic-to-corundum,256,1,4612.628051705,0.000000000,3510045.440803796,0.000000000,35.833880344,0.000000000,7547133.000000000,0.000000000,7950.310559006,3881987.577639752
nic-to-corundum,320,1,4384.462398434,0.000000000,3252429.237430902,0.000000000,47.341494638,0.000000000,9240441.000000000,0.000000000,8290.155440415,3238341.968911917
nic-to-corundum,384,1,5818.885804495,0.000000000,2820146.775627613,0.000000000,32.834398106,0.000000000,5556161.000000000,0.000000000,8533.333333333,2777777.777777778
nic-to-corundum,448,1,7892.687199226,0.000000000,2377213.285345070,0.000000000,7.362084435,0.000000000,1050137.000000000,0.000000000,8715.953307393,2431906.614785992
nic-to-corundum,512,1,7983.971700435,0.000000000,2162854.821573652,0.000000000,9.877823445,0.000000000,1281938.000000000,0.000000000,8858.131487889,2162629.757785467
nic-to-corundum,576,1,8910.674565490,0.000000000,1945432.056629419,0.000000000,0.600993312,0.000000000,70158.000000000,0.000000000,8971.962616822,1947040.498442368
nic-to-corundum,640,1,9065.035381706,0.000000000,1770514.722989409,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,9065.155807365,1770538.243626062
nic-to-corundum,704,1,9142.541257336,0.000000000,1623320.535748659,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,9142.857142857,1623376.623376623
nic-to-corundum,768,1,9206.943939882,0.000000000,1498526.031881841,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,9208.633093525,1498800.959232614
nic-to-corundum,832,1,9264.907583422,0.000000000,1391963.278759342,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,9265.033407572,1391982.182628062
nic-to-corundum,896,1,9313.868308565,0.000000000,1299367.788583329,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,9313.929313929,1299376.299376299
nic-to-corundum,960,1,9356.499610098,0.000000000,1218294.220064821,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,9356.725146199,1218323.586744639
nic-to-corundum,1024,1,9394.425082788,0.000000000,1146780.405613729,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,9394.495412844,1146788.990825688
nic-to-corundum,1088,1,9428.075902019,0.000000000,1083189.034078845,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,9428.076256499,1083188.908145581
nic-to-corundum,1152,1,9458.156033399,0.000000000,1026275.611262948,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,9458.128078818,1026272.577996716
nic-to-corundum,1216,1,9485.213536581,0.000000000,975042.509928149,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,9485.179407176,975039.001560062
nic-to-corundum,1280,1,9509.499697595,0.000000000,928662.079843259,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,9509.658246657,928677.563150074
nic-to-corundum,1344,1,9531.848922685,0.000000000,886518.687005634,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,9531.914893617,886524.822695035
nic-to-corundum,1408,1,9552.054379058,0.000000000,848016.191322663,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,9552.238805970,848032.564450475
nic-to-corundum,1472,1,9570.709113957,0.000000000,812730.053834639,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,9570.871261378,812743.823146944
