timestamp,direction,protocol,repeat,source_interface,destination_interface,duration_s,omit_s,streams,udp_bandwidth,socket_buffer,pacing_timer_us,payload_size,metrics_source,throughput_bps,elapsed_s,lost_percent,jitter_ms,packets,lost_packets,retransmits,cpu_host_percent,cpu_remote_percent,returncode
1782515906,nic-to-corundum,udp,1,nic0,corundum0,12,2,4,7950310559,,100,256,server_json,4701039993.833526,12.000375,21.77394911674846,0.003379753667802446,35213355.0,7667338.0,0.0,314.67290200920587,0.0,0
1782515921,corundum-to-nic,udp,1,corundum0,nic0,12,2,4,7950310559,,100,256,server_json,3647666053.68187,12.001929,54.14167274832914,0.00227865568509849,46614173.0,25237693.0,0.0,310.965124782887,0.0,0
1782515937,nic-to-corundum,udp,2,nic0,corundum0,12,2,4,7950310559,,100,256,server_json,4597787377.698728,12.000284,38.67261419975117,0.00311181646741343,43929474.0,16988676.0,0.0,454.4892427228294,0.0,0
1782515952,corundum-to-nic,udp,2,corundum0,nic0,12,2,4,7950310559,,100,256,server_json,3789929084.027575,12.001584,51.4187650498811,0.011429449016152919,45716308.0,23506761.0,0.0,317.31643881932,0.0,0
1782515968,nic-to-corundum,udp,3,nic0,corundum0,12,2,4,7950310559,,100,256,server_json,4418261697.446728,12.000247,35.88264015928797,0.0018717766969212459,40377185.0,14488400.0,0.0,326.0436508537403,0.0,0
1782515983,corundum-to-nic,udp,3,corundum0,nic0,12,2,4,7950310559,,100,256,server_json,2836754341.3825064,12.20291,63.7514619904361,0.0013213236922734043,46629922.0,29727257.0,0.0,239.9732957017331,0.0,0
1782515999,nic-to-corundum,udp,4,nic0,corundum0,12,2,4,7950310559,,100,256,server_json,4456366549.923716,12.000439,39.46374277940071,0.004542774968691568,43135270.0,17022792.0,0.0,390.0511819372624,0.0,0
1782516014,corundum-to-nic,udp,4,corundum0,nic0,12,2,4,7950310559,,100,256,server_json,4033173294.9931026,12.202326,47.05458300156593,0.0010989003272978879,45386969.0,21356649.0,0.0,336.55898011101,0.0,0
1782516030,nic-to-corundum,udp,5,nic0,corundum0,12,2,4,7950310559,,100,256,server_json,4474494991.014834,12.000335,41.29157445265654,0.0017266022284490327,44658796.0,18440320.0,0.0,339.9044036614288,0.0,0
1782516045,corundum-to-nic,udp,5,corundum0,nic0,12,2,4,7950310559,,100,256,server_json,3460921159.2800913,12.202159,52.854430790421354,0.00211118006729793,43737862.0,23117398.0,0.0,326.7476175508682,0.0,0
1782516061,nic-to-corundum,udp,1,nic0,corundum0,12,2,4,8290155440,,100,320,server_json,4716882705.463185,12.000252,42.13871409123952,0.0035518469556833146,38213551.0,16102699.0,0.0,363.0608895548754,0.0,0
1782516076,corundum-to-nic,udp,1,corundum0,nic0,12,2,4,8290155440,,100,320,server_json,4367230644.85513,12.000866,45.87533509229248,0.002711850379264672,37825400.0,17352529.0,0.0,287.60719155309636,0.0,0
1782516092,nic-to-corundum,udp,2,nic0,corundum0,12,2,4,8290155440,,100,320,server_json,5458037388.231916,12.000407,34.31430414170236,0.0027229440110129164,38951278.0,13365860.0,0.0,397.9137041048295,0.0,0
1782516107,corundum-to-nic,udp,2,corundum0,nic0,12,2,4,8290155440,,100,320,server_json,4691004521.906767,12.001132,43.573153874449666,0.0026639179683931582,38972864.0,16981706.0,0.0,316.444485901395,0.0,0
1782516122,nic-to-corundum,udp,3,nic0,corundum0,12,2,4,8290155440,,100,320,server_json,4314338030.863771,12.000348,48.731595327213945,0.002603038755172645,39447387.0,19223341.0,0.0,453.31932325643,0.0,0
1782516138,corundum-to-nic,udp,3,corundum0,nic0,12,2,4,8290155440,,100,320,server_json,4594142500.940256,12.20413,43.7298199577517,0.0016748247960469385,38921809.0,17020437.0,0.0,349.02854696889324,0.0,0
1782516153,nic-to-corundum,udp,4,nic0,corundum0,12,2,4,8290155440,,100,320,server_json,4971640201.887258,12.000163,40.046529072335076,0.005858495017418302,38871611.0,15566731.0,0.0,429.90615034415873,0.0,0
1782516169,corundum-to-nic,udp,4,corundum0,nic0,12,2,4,8290155440,,100,320,server_json,5173440657.108423,12.201335,36.62476027743626,0.0014442552711490184,38906955.0,14249579.0,0.0,340.76427581934354,0.0,0
1782516184,nic-to-corundum,udp,5,nic0,corundum0,12,2,4,8290155440,,100,320,server_json,5969212037.335178,12.000264,28.054182100360535,0.0021537827953226362,38892180.0,10910883.0,0.0,416.21763240532255,0.0,0
1782516200,corundum-to-nic,udp,5,corundum0,nic0,12,2,4,8290155440,,100,320,server_json,4791261595.78298,12.202173,40.22801971745235,0.001397906742829786,38207573.0,15370150.0,0.0,314.20805642834534,0.0,0
1782516215,nic-to-corundum,udp,1,nic0,corundum0,12,2,4,8533333333,,100,384,server_json,5706906943.995035,12.000311,30.357331465297772,0.0026176122605109826,32010811.0,9717628.0,0.0,338.5224162083199,0.0,0
1782516231,corundum-to-nic,udp,1,corundum0,nic0,12,2,4,8533333333,,100,384,server_json,5758800384.388805,12.203269,31.495620907182264,0.0010612782143307917,33394017.0,10517653.0,0.0,325.304715040973,0.0,0
1782516246,nic-to-corundum,udp,2,nic0,corundum0,12,2,4,8533333333,,100,384,server_json,6705987642.209216,12.000365,19.323108412169383,0.0026743145933313477,32470340.0,6274279.0,0.0,348.9221634771047,0.0,0
1782516262,corundum-to-nic,udp,2,corundum0,nic0,12,2,4,8533333333,,100,384,server_json,5666615577.570384,12.001204,32.61556649152296,0.003247452128671835,32852451.0,10715013.0,0.0,326.7806549019224,0.0,0
1782516277,nic-to-corundum,udp,3,nic0,corundum0,12,2,4,8533333333,,100,384,server_json,5774152302.703453,12.000286,28.8896514070762,0.0026507424786258366,31719462.0,9163642.0,0.0,376.075132702561,0.0,0
1782516293,corundum-to-nic,udp,3,corundum0,nic0,12,2,4,8533333333,,100,384,server_json,5683249016.24953,12.205585,32.35256123463221,0.0012055052208973873,33379722.0,10799195.0,0.0,312.12416913001584,0.0,0
1782516308,nic-to-corundum,udp,4,nic0,corundum0,12,2,4,8533333333,,100,384,server_json,7209587102.85355,12.000422,13.83691503833942,0.00257919366398624,32686202.0,4522762.0,0.0,404.6160137167167,0.0,0
1782516324,corundum-to-nic,udp,4,corundum0,nic0,12,2,4,8533333333,,100,384,server_json,4423080771.895276,12.201707,47.36904544635867,0.001232712144426139,33379748.0,15811668.0,0.0,251.32412223598425,0.0,0
1782516339,nic-to-corundum,udp,5,nic0,corundum0,12,2,4,8533333333,,100,384,server_json,6292637993.498188,12.000348,26.662957250218536,0.004199621518673208,33518300.0,8936970.0,0.0,453.56032043473186,0.0,0
1782516355,corundum-to-nic,udp,5,corundum0,nic0,12,2,4,8533333333,,100,384,server_json,5474022322.59589,12.000934,35.5884423465525,0.004437142154425335,33199888.0,11815323.0,0.0,305.5475870600394,0.0,0
1782516370,nic-to-corundum,udp,1,nic0,corundum0,12,2,4,8715953307,,100,448,server_json,6677045543.077915,12.000221,21.689783729265383,0.0013739416785576019,28548754.0,6192163.0,0.0,296.3022102097426,0.0,0
1782516386,corundum-to-nic,udp,1,corundum0,nic0,12,2,4,8715953307,,100,448,server_json,6648569893.997173,12.001095,23.72068991332655,0.003353881995181888,29185985.0,6923117.0,0.0,301.89341511165225,0.0,0
1782516401,nic-to-corundum,udp,2,nic0,corundum0,12,2,4,8715953307,,100,448,server_json,6955445167.73093,12.00047,20.098952249712276,0.006459598998482612,29147594.0,5858361.0,0.0,308.0278627669516,0.0,0
1782516416,corundum-to-nic,udp,2,corundum0,nic0,12,2,4,8715953307,,100,448,server_json,5407916400.255475,12.001185,37.95429635461703,0.012703938497106255,29185987.0,11077336.0,0.0,264.0884795904921,0.0,0
1782516432,nic-to-corundum,udp,3,nic0,corundum0,12,2,4,8715953307,,100,448,server_json,7034346310.576693,12.000263,18.197633807372064,0.0026475009294191286,28792584.0,5239569.0,0.0,306.8887238130611,0.0,0
1782516447,corundum-to-nic,udp,3,corundum0,nic0,12,2,4,8715953307,,100,448,server_json,6569999450.211703,12.000983,24.621724685379462,0.0024993193302041156,29185555.0,7185987.0,0.0,300.9580513539581,0.0,0
1782516463,nic-to-corundum,udp,4,nic0,corundum0,12,2,4,8715953307,,100,448,server_json,7777490499.622215,12.000207,7.938867329171063,0.0009407607039804238,28286806.0,2245652.0,0.0,327.4575843349105,0.0,0
1782516478,corundum-to-nic,udp,4,corundum0,nic0,12,2,4,8715953307,,100,448,server_json,7066873928.933095,12.001001,18.919808486217548,0.0020824147314482517,29185158.0,5521776.0,0.0,305.0688663127882,0.0,0
1782516493,nic-to-corundum,udp,5,nic0,corundum0,12,2,4,8715953307,,100,448,server_json,7989711238.160253,12.000256,7.59925490389773,0.0025440196290799078,28951970.0,2200134.0,0.0,419.5100648480768,0.0,0
1782516509,corundum-to-nic,udp,5,corundum0,nic0,12,2,4,8715953307,,100,448,server_json,6630409646.079656,12.001062,23.927373074302153,0.0023590470202478325,29185264.0,6983267.0,0.0,312.55944172418356,0.0,0
1782516524,nic-to-corundum,udp,1,nic0,corundum0,12,2,4,8858131488,,100,512,server_json,8798657492.52471,12.000541,0.5520305209861098,0.0015284436237070205,25921574.0,143095.0,0.0,323.45333806361117,0.0,0
1782516540,corundum-to-nic,udp,1,corundum0,nic0,12,2,4,8858131488,,100,512,server_json,7741690668.4572115,12.000813,12.603107796663668,0.002295528201243651,25953178.0,3270907.0,0.0,343.837668079441,0.0,0
1782516555,nic-to-corundum,udp,2,nic0,corundum0,12,2,4,8858131488,,100,512,server_json,8224460167.528307,12.00036,6.771984618501286,0.002038583969248754,25846116.0,1750295.0,0.0,339.18076421579013,0.0,0
1782516570,corundum-to-nic,udp,2,corundum0,nic0,12,2,4,8858131488,,100,512,server_json,7310567878.771264,12.000917,17.304775415646535,0.0033941179181591285,25901515.0,4482199.0,0.0,301.2017428002568,0.0,0
1782516586,nic-to-corundum,udp,3,nic0,corundum0,12,2,4,8858131488,,100,512,server_json,8751510350.9739,12.000465,1.0530328397764879,0.003135387283689341,25913057.0,272873.0,0.0,370.91370503990225,0.0,0
1782516601,corundum-to-nic,udp,3,corundum0,nic0,12,2,4,8858131488,,100,512,server_json,6590049780.603684,12.001341,25.60377323159822,0.0024792181721117875,25954198.0,6645254.0,0.0,285.7815096617564,0.0,0
1782516617,nic-to-corundum,udp,4,nic0,corundum0,12,2,4,8858131488,,100,512,server_json,8348907837.136255,12.000289,5.728209831957255,0.002055699369214209,25946553.0,1486273.0,0.0,357.881371331398,0.0,0
1782516632,corundum-to-nic,udp,4,corundum0,nic0,12,2,4,8858131488,,100,512,server_json,7375632968.260367,12.000706,16.737262870368063,0.0028169575597480016,25953473.0,4343901.0,0.0,291.76339603618266,0.0,0
1782516648,nic-to-corundum,udp,5,nic0,corundum0,12,2,4,8858131488,,100,512,server_json,8585256478.228798,12.000348,3.0334824289771767,0.0021538110476874944,25939725.0,786877.0,0.0,332.8682743949162,0.0,0
1782516663,corundum-to-nic,udp,5,corundum0,nic0,12,2,4,8858131488,,100,512,server_json,7608887561.594745,12.001024,14.104078113104027,0.00262651277230565,25954160.0,3660595.0,0.0,321.48586872327655,0.0,0
1782516678,nic-to-corundum,udp,1,nic0,corundum0,12,2,4,8971962617,,100,576,server_json,8971942105.15264,12.001068,0.013633038818045487,0.0021261813508988607,23369698.0,3186.0,0.0,339.7272817005847,0.0,0
1782516694,corundum-to-nic,udp,1,corundum0,nic0,12,2,4,8971962617,,100,576,server_json,8414102646.010834,12.000291,6.218100961073436,0.0022609555942394574,23365124.0,1452867.0,0.0,305.94322434325676,0.0,0
1782516709,nic-to-corundum,udp,2,nic0,corundum0,12,2,4,8971962617,,100,576,server_json,8943298609.410954,12.000526,0.31656132669514964,0.0023289053562340167,23364825.0,73964.0,0.0,357.035159386873,0.0,0
1782516725,corundum-to-nic,udp,2,corundum0,nic0,12,2,4,8971962617,,100,576,server_json,7289280671.970568,12.201963,17.545653658273192,0.0014025206186887326,23409296.0,4107314.0,0.0,280.6143359417275,0.0,0
