direction,payload_size,runs,goodput_mbps_mean,goodput_mbps_std,pps_mean,pps_std,lost_pct_mean,lost_pct_std,lost_packets_mean,lost_packets_std,theoretical_goodput_mbps,theoretical_pps
corundum-to-nic,256,5,3553.688786673,451.981036677,3763652.688112349,116091.345248873,53.844182716,6.148243793,24589151.600000001,3186198.133281702,7950.310559006,3881987.577639752
corundum-to-nic,320,5,4723.415984119,296.544838753,3181702.082787878,44342.382208593,42.006217784,3.623473305,16194880.199999999,1332775.888439876,8290.155440415,3238341.968911917
corundum-to-nic,384,5,5401.153614540,556.752955896,2742161.171473186,13608.522144357,35.884247285,6.603128261,11931770.400000000,2226551.089217088,8533.333333333,2777777.777777778
corundum-to-nic,448,5,6464.753863895,622.848457052,2431916.610164126,23.558890029,25.828778503,7.146299897,7538296.600000000,2085772.102625380,8715.953307393,2431906.614785992
corundum-to-nic,512,5,7325.365771537,446.415277643,2161769.086200953,1942.424114606,17.270599485,5.038346378,4480571.200000000,1307687.028998606,8858.131487889,2162629.757785467
corundum-to-nic,576,5,8036.286793261,484.383637133,1935388.912106114,15915.253915058,9.914286035,4.854418035,2318976.000000000,1137443.077958849,8971.962616822,1947040.498442368
corundum-to-nic,640,5,8566.190976035,202.785298584,1770032.370578586,1119.335455384,5.477297618,2.230994628,1163429.600000000,474001.369687156,9065.155807365,1770538.243626062
corundum-to-nic,704,5,8651.827017272,278.719929481,1623213.072186717,2079.545600772,5.362063612,3.010940663,1044299.600000000,585741.380321811,9142.857142857,1623376.623376623
corundum-to-nic,768,5,8891.732958485,144.548290346,1499291.477194039,1059.287721188,3.472009015,1.635452089,624847.400000000,294963.691940720,9208.633093525,1498800.959232614
corundum-to-nic,832,5,9043.417455173,0.015650865,1391983.671455767,5.444925025,2.392065038,0.000221110,399575.400000000,38.468168659,9265.033407572,1391982.182628062
corundum-to-nic,896,5,9105.620388542,0.025621759,1299373.027128405,17.605542505,2.236284881,0.001352512,348700.800000000,215.884691444,9313.929313929,1299376.299376299
corundum-to-nic,960,5,9160.263600245,0.068278361,1218255.715101682,84.781354450,2.094228127,0.007353889,306164.000000000,1095.422521222,9356.725146199,1218323.586744639
corundum-to-nic,1024,5,9208.568726781,0.007561164,1146674.550310455,99.173843461,1.969319138,0.008549081,270987.000000000,1199.530949997,9394.495412844,1146788.990825688
corundum-to-nic,1088,5,9251.637606392,0.009162343,1082838.206014987,138.155133438,1.839634816,0.012531804,239049.000000000,1659.009192259,9428.076256499,1083188.908145581
corundum-to-nic,1152,5,9290.258636030,0.011253903,1025417.502631249,237.628398804,1.692957411,0.022795746,208331.000000000,2864.407443085,9458.128078818,1026272.577996716
corundum-to-nic,1216,5,9325.085597666,0.009258801,974030.337195319,282.951292009,1.586016562,0.028644883,185384.600000000,3402.272887350,9485.179407176,975039.001560062
corundum-to-nic,1280,5,9356.610997656,0.017010713,927769.182692139,538.192928302,1.513026573,0.057062630,168455.400000000,6454.120141429,9509.658246657,928677.563150074
corundum-to-nic,1344,5,9385.362617025,0.015823670,885221.915036619,88.482529967,1.392568256,0.009912834,147931.800000000,1067.505597175,9531.914893617,886524.822695035
corundum-to-nic,1408,5,9411.660629985,0.026000312,846765.469604123,713.116895865,1.324184625,0.083054075,134561.600000000,8561.567806191,9552.238805970,848032.564450475
corundum-to-nic,1472,5,9435.818263138,0.017925365,811294.393659578,402.287115746,1.234926791,0.048821081,120231.600000000,4814.301745840,9570.871261378,812743.823146944
nic-to-corundum,256,5,4529.590121984,117.086621050,3455138.070555450,320934.324608886,35.416904142,7.871394953,14921505.199999999,4297708.133666966,7950.310559006,3881987.577639752
