endpoint,counter,before,after,delta,suspicious
nic,ethtool_fdir_miss,4066621870,4078732579,12110709,yes
corundum,ip_rx_bytes,3468881985888,3468881988013,2125,no
corundum,ip_rx_packets,4083986886,4083986905,19,no
corundum,ip_tx_bytes,3462395797129,3469105128916,6709331787,no
corundum,ip_tx_packets,4066620437,4078731162,12110725,no
corundum,snmp_Ip_InDelivers,4083986871,4083986888,17,no
corundum,snmp_Ip_InReceives,4083986871,4083986888,17,no
corundum,snmp_Ip_OutRequests,4656804428,4668915151,12110723,no
corundum,snmp_Ip_OutTransmits,4656804428,4668915151,12110723,no
corundum,snmp_Tcp_ActiveOpens,516,517,1,no
corundum,snmp_Tcp_InSegs,6227,6240,13,no
corundum,snmp_Tcp_OutSegs,6216,6232,16,no
corundum,snmp_Udp_InDatagrams,3631504915,3631504919,4,no
corundum,snmp_Udp_OutDatagrams,4656798180,4668908887,12110707,no
nic,ethtool_alloc_rx_page,382207,390733,8526,no
nic,ethtool_fdir_match,5710,5725,15,no
nic,ethtool_rx_bytes,3462395839975,3469105171854,6709331879,no
nic,ethtool_rx_bytes_nic,3478662321899,3485420096678,6757774779,no
nic,ethtool_rx_packets,4066620481,4078731206,12110725,no
nic,ethtool_rx_pkts_nic,4066620481,4078731206,12110725,no
nic,ethtool_rx_queue_0_bytes,114254,114374,120,no
nic,ethtool_rx_queue_0_packets,679,681,2,no
nic,ethtool_rx_queue_10_bytes,48312,48481,169,no
nic,ethtool_rx_queue_10_packets,180,182,2,no
nic,ethtool_rx_queue_12_bytes,36594,38408,1814,no
nic,ethtool_rx_queue_12_packets,150,163,13,no
nic,ethtool_rx_queue_1_bytes,3462394917480,3469104247182,6709329702,no
nic,ethtool_rx_queue_1_packets,4066616688,4078727395,12110707,no
nic,ethtool_rx_queue_8_bytes,37142,37216,74,no
nic,ethtool_rx_queue_8_packets,211,212,1,no
nic,ethtool_tx_bytes,3481308731228,3481308733261,2033,no
nic,ethtool_tx_bytes_nic,3497712828764,3497712830965,2201,no
nic,ethtool_tx_packets,4101017319,4101017338,19,no
nic,ethtool_tx_pkts_nic,4101017319,4101017338,19,no
nic,ethtool_tx_queue_10_bytes,1133826554,1133826670,116,no
nic,ethtool_tx_queue_10_packets,1337645,1337647,2,no
nic,ethtool_tx_queue_11_bytes,203727294,203728518,1224,no
nic,ethtool_tx_queue_11_packets,220547,220552,5,no
nic,ethtool_tx_queue_12_bytes,6912552949,6912553015,66,no
nic,ethtool_tx_queue_12_packets,12316707,12316708,1,no
nic,ethtool_tx_queue_13_bytes,204691076,204691143,67,no
nic,ethtool_tx_queue_13_packets,228964,228965,1,no
nic,ethtool_tx_queue_2_bytes,9872176063,9872176105,42,no
nic,ethtool_tx_queue_2_packets,15767916,15767917,1,no
nic,ethtool_tx_queue_5_bytes,270663108,270663559,451,no
nic,ethtool_tx_queue_5_packets,352774,352782,8,no
nic,ethtool_tx_queue_7_bytes,133988524,133988591,67,no
nic,ethtool_tx_queue_7_packets,132922,132923,1,no
nic,ip_rx_bytes,3462395839975,3469105171854,6709331879,no
nic,ip_rx_packets,4066620481,4078731206,12110725,no
nic,ip_tx_bytes,3481308731228,3481308733261,2033,no
nic,ip_tx_packets,4101017319,4101017338,19,no
nic,snmp_Ip_InDelivers,4066620422,4078731145,12110723,no
nic,snmp_Ip_InReceives,4066620422,4078731145,12110723,no
nic,snmp_Ip_OutRequests,4370708903,4370708920,17,no
nic,snmp_Ip_OutTransmits,4370708903,4370708920,17,no
nic,snmp_Tcp_InSegs,6216,6232,16,no
nic,snmp_Tcp_OutSegs,6227,6240,13,no
nic,snmp_Tcp_PassiveOpens,514,515,1,no
nic,snmp_Udp_InDatagrams,4066602409,4078713116,12110707,no
nic,snmp_Udp_OutDatagrams,4370702657,4370702661,4,no
