endpoint,counter,before,after,delta,suspicious
nic,ethtool_fdir_miss,4066621866,4066621870,4,yes
nic,ethtool_tx_restart_queue,11512642,11512697,55,yes
corundum,ip_rx_bytes,3462172648472,3468881985888,6709337416,no
corundum,ip_rx_packets,4071876151,4083986886,12110735,no
corundum,ip_tx_bytes,3462395795101,3462395797129,2028,no
corundum,ip_tx_packets,4066620418,4066620437,19,no
corundum,snmp_Ip_InDelivers,4071876138,4083986871,12110733,no
corundum,snmp_Ip_InReceives,4071876138,4083986871,12110733,no
corundum,snmp_Ip_OutRequests,4656804411,4656804428,17,no
corundum,snmp_Ip_OutTransmits,4656804411,4656804428,17,no
corundum,snmp_Tcp_InSegs,6211,6227,16,no
corundum,snmp_Tcp_OutSegs,6203,6216,13,no
corundum,snmp_Tcp_PassiveOpens,517,518,1,no
corundum,snmp_Udp_InDatagrams,3619394198,3631504915,12110717,no
corundum,snmp_Udp_OutDatagrams,4656798176,4656798180,4,no
nic,ethtool_fdir_match,5697,5710,13,no
nic,ethtool_rx_bytes,3462395837855,3462395839975,2120,no
nic,ethtool_rx_bytes_nic,3478662319703,3478662321899,2196,no
nic,ethtool_rx_packets,4066620462,4066620481,19,no
nic,ethtool_rx_pkts_nic,4066620462,4066620481,19,no
nic,ethtool_rx_queue_0_bytes,114134,114254,120,no
nic,ethtool_rx_queue_0_packets,677,679,2,no
nic,ethtool_rx_queue_12_bytes,34834,36594,1760,no
nic,ethtool_rx_queue_12_packets,137,150,13,no
nic,ethtool_rx_queue_1_bytes,3462394917240,3462394917480,240,no
nic,ethtool_rx_queue_1_packets,4066616684,4066616688,4,no
nic,ethtool_tx_bytes,3474599393904,3481308731228,6709337324,no
nic,ethtool_tx_bytes_nic,3490955048408,3497712828764,6757780356,no
nic,ethtool_tx_packets,4088906584,4101017319,12110735,no
nic,ethtool_tx_pkts_nic,4088906584,4101017319,12110735,no
nic,ethtool_tx_queue_0_bytes,579803806436,579803807639,1203,no
nic,ethtool_tx_queue_0_packets,658184441,658184447,6,no
nic,ethtool_tx_queue_12_bytes,203217242,6912552949,6709335707,no
nic,ethtool_tx_queue_12_packets,205985,12316707,12110722,no
nic,ethtool_tx_queue_14_bytes,25868102,25868432,330,no
nic,ethtool_tx_queue_14_packets,21051,21056,5,no
nic,ethtool_tx_queue_2_bytes,9872176021,9872176063,42,no
nic,ethtool_tx_queue_2_packets,15767915,15767916,1,no
nic,ethtool_tx_queue_8_bytes,397923436322,397923436364,42,no
nic,ethtool_tx_queue_8_packets,446050701,446050702,1,no
nic,ip_rx_bytes,3462395837855,3462395839975,2120,no
nic,ip_rx_packets,4066620462,4066620481,19,no
nic,ip_tx_bytes,3474599393904,3481308731228,6709337324,no
nic,ip_tx_packets,4088906584,4101017319,12110735,no
nic,snmp_Ip_InDelivers,4066620405,4066620422,17,no
nic,snmp_Ip_InReceives,4066620405,4066620422,17,no
nic,snmp_Ip_OutRequests,4358598170,4370708903,12110733,no
nic,snmp_Ip_OutTransmits,4358598170,4370708903,12110733,no
nic,snmp_Tcp_ActiveOpens,520,521,1,no
nic,snmp_Tcp_InSegs,6203,6216,13,no
nic,snmp_Tcp_OutSegs,6211,6227,16,no
nic,snmp_Udp_InDatagrams,4066602405,4066602409,4,no
nic,snmp_Udp_OutDatagrams,4358591940,4370702657,12110717,no
