endpoint,counter,before,after,delta,suspicious
nic,ethtool_tx_restart_queue,11512697,11512698,1,yes
corundum,ip_rx_bytes,3468881988013,3476955282300,8073294287,no
corundum,ip_rx_packets,4083986905,4093953954,9967049,no
corundum,ip_tx_bytes,3469105128916,3469105130948,2032,no
corundum,ip_tx_packets,4078731162,4078731181,19,no
corundum,snmp_Ip_InDelivers,4083986888,4093953935,9967047,no
corundum,snmp_Ip_InReceives,4083986888,4093953935,9967047,no
corundum,snmp_Ip_OutRequests,4668915151,4668915168,17,no
corundum,snmp_Ip_OutTransmits,4668915151,4668915168,17,no
corundum,snmp_Tcp_InSegs,6240,6256,16,no
corundum,snmp_Tcp_OutSegs,6232,6245,13,no
corundum,snmp_Tcp_PassiveOpens,518,519,1,no
corundum,snmp_Udp_InDatagrams,3631504919,3641471950,9967031,no
corundum,snmp_Udp_OutDatagrams,4668908887,4668908891,4,no
nic,ethtool_fdir_match,5725,5738,13,no
nic,ethtool_fdir_miss,4078732579,4078732583,4,no
nic,ethtool_rx_bytes,3469105171854,3469105173978,2124,no
nic,ethtool_rx_bytes_nic,3485420096678,3485420098878,2200,no
nic,ethtool_rx_packets,4078731206,4078731225,19,no
nic,ethtool_rx_pkts_nic,4078731206,4078731225,19,no
nic,ethtool_rx_queue_0_bytes,114374,114494,120,no
nic,ethtool_rx_queue_0_packets,681,683,2,no
nic,ethtool_rx_queue_1_bytes,3469104247182,3469104247422,240,no
nic,ethtool_rx_queue_1_packets,4078727395,4078727399,4,no
nic,ethtool_rx_queue_3_bytes,92056,93820,1764,no
nic,ethtool_rx_queue_3_packets,316,329,13,no
nic,ethtool_tx_bytes,3481308733261,3489382027456,8073294195,no
nic,ethtool_tx_bytes_nic,3497712830965,3505825993448,8113162483,no
nic,ethtool_tx_packets,4101017338,4110984387,9967049,no
nic,ethtool_tx_pkts_nic,4101017338,4110984387,9967049,no
nic,ethtool_tx_queue_2_bytes,9872176105,9872176147,42,no
nic,ethtool_tx_queue_2_packets,15767917,15767918,1,no
nic,ethtool_tx_queue_3_bytes,727927264,8801219881,8073292617,no
nic,ethtool_tx_queue_3_packets,872602,10839639,9967037,no
nic,ethtool_tx_queue_5_bytes,270663559,270663889,330,no
nic,ethtool_tx_queue_5_packets,352782,352787,5,no
nic,ethtool_tx_queue_6_bytes,178241818,178243024,1206,no
nic,ethtool_tx_queue_6_packets,205477,205483,6,no
nic,ip_rx_bytes,3469105171854,3469105173978,2124,no
nic,ip_rx_packets,4078731206,4078731225,19,no
nic,ip_tx_bytes,3481308733261,3489382027456,8073294195,no
nic,ip_tx_packets,4101017338,4110984387,9967049,no
nic,snmp_Ip_InDelivers,4078731145,4078731162,17,no
nic,snmp_Ip_InReceives,4078731145,4078731162,17,no
nic,snmp_Ip_OutRequests,4370708920,4380675967,9967047,no
nic,snmp_Ip_OutTransmits,4370708920,4380675967,9967047,no
nic,snmp_Tcp_ActiveOpens,521,522,1,no
nic,snmp_Tcp_InSegs,6232,6245,13,no
nic,snmp_Tcp_OutSegs,6240,6256,16,no
nic,snmp_Udp_InDatagrams,4078713116,4078713120,4,no
nic,snmp_Udp_OutDatagrams,4370702661,4380669692,9967031,no
