timestamp,payload,packets,expected_bytes,captured_bytes,returncode,output_file,command
1782433218,256,5376,1376256,1376256,0,payload_0256_packets_005376.bin,/home/luisfercrtez/Documents/etherbench/etherbench fpga-loopback-capture eth0 192.168.1.12 5376 256 /home/luisfercrtez/Documents/etherbench/results/fpga_loopback_capture_sweep_20260625_172017/payload_0256_packets_005376.bin 1234 9999 55555
1782433219,320,4301,1376320,1376320,0,payload_0320_packets_004301.bin,/home/luisfercrtez/Documents/etherbench/etherbench fpga-loopback-capture eth0 192.168.1.12 4301 320 /home/luisfercrtez/Documents/etherbench/results/fpga_loopback_capture_sweep_20260625_172017/payload_0320_packets_004301.bin 1234 9999 55555
1782433220,384,3584,1376256,1376256,0,payload_0384_packets_003584.bin,/home/luisfercrtez/Documents/etherbench/etherbench fpga-loopback-capture eth0 192.168.1.12 3584 384 /home/luisfercrtez/Documents/etherbench/results/fpga_loopback_capture_sweep_20260625_172017/payload_0384_packets_003584.bin 1234 9999 55555
1782433221,448,3072,1376256,1376256,0,payload_0448_packets_003072.bin,/home/luisfercrtez/Documents/etherbench/etherbench fpga-loopback-capture eth0 192.168.1.12 3072 448 /home/luisfercrtez/Documents/etherbench/results/fpga_loopback_capture_sweep_20260625_172017/payload_0448_packets_003072.bin 1234 9999 55555
1782433222,512,2688,1376256,1376256,0,payload_0512_packets_002688.bin,/home/luisfercrtez/Documents/etherbench/etherbench fpga-loopback-capture eth0 192.168.1.12 2688 512 /home/luisfercrtez/Documents/etherbench/results/fpga_loopback_capture_sweep_20260625_172017/payload_0512_packets_002688.bin 1234 9999 55555
1782433223,576,2390,1376640,1376640,0,payload_0576_packets_002390.bin,/home/luisfercrtez/Documents/etherbench/etherbench fpga-loopback-capture eth0 192.168.1.12 2390 576 /home/luisfercrtez/Documents/etherbench/results/fpga_loopback_capture_sweep_20260625_172017/payload_0576_packets_002390.bin 1234 9999 55555
1782433224,640,2151,1376640,1376640,0,payload_0640_packets_002151.bin,/home/luisfercrtez/Documents/etherbench/etherbench fpga-loopback-capture eth0 192.168.1.12 2151 640 /home/luisfercrtez/Documents/etherbench/results/fpga_loopback_capture_sweep_20260625_172017/payload_0640_packets_002151.bin 1234 9999 55555
1782433225,704,1955,1376320,1376320,0,payload_0704_packets_001955.bin,/home/luisfercrtez/Documents/etherbench/etherbench fpga-loopback-capture eth0 192.168.1.12 1955 704 /home/luisfercrtez/Documents/etherbench/results/fpga_loopback_capture_sweep_20260625_172017/payload_0704_packets_001955.bin 1234 9999 55555
1782433226,768,1792,1376256,1376256,0,payload_0768_packets_001792.bin,/home/luisfercrtez/Documents/etherbench/etherbench fpga-loopback-capture eth0 192.168.1.12 1792 768 /home/luisfercrtez/Documents/etherbench/results/fpga_loopback_capture_sweep_20260625_172017/payload_0768_packets_001792.bin 1234 9999 55555
1782433227,832,1655,1376960,1376960,0,payload_0832_packets_001655.bin,/home/luisfercrtez/Documents/etherbench/etherbench fpga-loopback-capture eth0 192.168.1.12 1655 832 /home/luisfercrtez/Documents/etherbench/results/fpga_loopback_capture_sweep_20260625_172017/payload_0832_packets_001655.bin 1234 9999 55555
1782433228,896,1536,1376256,1376256,0,payload_0896_packets_001536.bin,/home/luisfercrtez/Documents/etherbench/etherbench fpga-loopback-capture eth0 192.168.1.12 1536 896 /home/luisfercrtez/Documents/etherbench/results/fpga_loopback_capture_sweep_20260625_172017/payload_0896_packets_001536.bin 1234 9999 55555
1782433229,960,1434,1376640,1376640,0,payload_0960_packets_001434.bin,/home/luisfercrtez/Documents/etherbench/etherbench fpga-loopback-capture eth0 192.168.1.12 1434 960 /home/luisfercrtez/Documents/etherbench/results/fpga_loopback_capture_sweep_20260625_172017/payload_0960_packets_001434.bin 1234 9999 55555
