timestamp,tx_fifo_overflow,tx_fifo_bad_frame,tx_fifo_good_frame,rx_error_bad_frame,rx_error_bad_fcs,rx_fifo_overflow,rx_fifo_bad_frame,rx_fifo_good_frame,eth_rx_error_header_early_termination,ip_rx_error_header_early_termination,ip_rx_error_payload_early_termination,ip_rx_error_invalid_header,ip_rx_error_invalid_checksum,ip_tx_error_payload_early_termination,ip_tx_error_arp_failed,udp_rx_error_header_early_termination,udp_rx_error_payload_early_termination,udp_tx_error_payload_early_termination,speed,flood,loopback,tx_busy,random,constant,sequential,payload_size_bytes,packets_per_trigger,mac,local_ip,gateway_ip,subnet_mask,dest_ip,src_port,dst_port
1781822970,0,0,530780242,60937,60937,13,60937,425753728,0,0,0,0,0,0,0,0,0,0,1000M,0,1,0,0,0,1,1440,1000000,66:70:67:61:3A:30,192.168.1.12,192.168.1.1,255.255.255.0,192.168.1.11,1234,9999
1781822974,0,0,531780223,60957,60957,13,60957,426753709,0,0,0,0,0,0,0,0,0,0,1000M,0,1,0,0,0,1,1440,1000000,66:70:67:61:3A:30,192.168.1.12,192.168.1.1,255.255.255.0,192.168.1.11,1234,9999
1781822975,0,0,531780228,60957,60957,13,60957,426753716,0,0,0,0,0,0,0,0,0,0,1000M,0,1,0,0,0,1,1440,1000000,66:70:67:61:3A:30,192.168.1.12,192.168.1.1,255.255.255.0,192.168.1.11,1234,9999
1781822977,0,0,532780142,61044,61044,13,61044,427753630,0,0,0,0,0,0,0,0,0,0,1000M,0,1,0,0,0,1,1440,1000000,66:70:67:61:3A:30,192.168.1.12,192.168.1.1,255.255.255.0,192.168.1.11,1234,9999
1781822978,0,0,532780147,61044,61044,13,61044,427753637,0,0,0,0,0,0,0,0,0,0,1000M,0,1,0,0,0,1,1440,1000000,66:70:67:61:3A:30,192.168.1.12,192.168.1.1,255.255.255.0,192.168.1.11,1234,9999
1781822981,0,0,533780066,61126,61126,13,61126,428753556,0,0,0,0,0,0,0,0,0,0,1000M,0,1,0,0,0,1,1440,1000000,66:70:67:61:3A:30,192.168.1.12,192.168.1.1,255.255.255.0,192.168.1.11,1234,9999
1781822982,0,0,533780071,61126,61126,13,61126,428753563,0,0,0,0,0,0,0,0,0,0,1000M,0,1,0,0,0,1,1440,1000000,66:70:67:61:3A:30,192.168.1.12,192.168.1.1,255.255.255.0,192.168.1.11,1234,9999
1781822985,0,0,534780011,61187,61187,13,61187,429753503,0,0,0,0,0,0,0,0,0,0,1000M,0,1,0,0,0,1,1440,1000000,66:70:67:61:3A:30,192.168.1.12,192.168.1.1,255.255.255.0,192.168.1.11,1234,9999
1781822986,0,0,534780016,61187,61187,13,61187,429753510,0,0,0,0,0,0,0,0,0,0,1000M,0,1,0,0,0,1,1440,1000000,66:70:67:61:3A:30,192.168.1.12,192.168.1.1,255.255.255.0,192.168.1.11,1234,9999
1781822988,0,0,535779956,61248,61248,13,61248,430753450,0,0,0,0,0,0,0,0,0,0,1000M,0,1,0,0,0,1,1440,1000000,66:70:67:61:3A:30,192.168.1.12,192.168.1.1,255.255.255.0,192.168.1.11,1234,9999
