test,payload_size,runs,goodput_mbps_mean,goodput_mbps_std,wire_mbps_mean,wire_mbps_std,pps_mean,pps_std,theoretical_goodput_mbps,theoretical_pps,lost_pct_mean,lost_pct_std
tx,256,5,705.510278600,143.953851424,887.399647200,181.066954259,344487.440700211,70289.966629190,795.031055901,388198.757763975,11.276240000,18.102836939
tx,330,5,832.806227800,0.785093534,999.367473200,0.942112509,315456.904437266,297.383984578,833.333333333,315656.565656566,0.069440000,0.087029782
tx,404,5,859.657343000,0.063770868,1000.096413600,0.074188875,265983.088797371,19.731075288,859.574468085,265957.446808511,0.001120000,0.001073313
tx,478,5,878.684597200,0.088813444,1000.009248200,0.101076351,229781.536849849,23.225289391,878.676470588,229779.411764706,0.006920000,0.007689408
tx,552,5,893.254240600,0.043932309,1000.056378200,0.049184915,202276.775500754,9.948393185,893.203883495,202265.372168285,0.000060000,0.000134164
tx,626,5,904.628372000,0.007297022,1000.004526200,0.008066782,180636.655763709,1.457108599,904.624277457,180635.838150289,0.001340000,0.002996331
tx,700,5,913.884127600,0.047675874,1000.050345200,0.052170402,163193.594219559,8.513497249,913.838120104,163185.378590078,0.000000000,0.000000000
tx,774,5,921.433955600,0.049954786,1000.005843000,0.054214898,148810.393318405,8.067675049,921.428571429,148809.523809524,0.000000000,0.000000000
tx,848,5,927.799550000,0.042413617,1000.010364200,0.045714662,136762.905378745,6.251989250,927.789934354,136761.487964989,0.000200000,0.000447214
tx,922,5,933.240880600,0.045710578,1000.045542400,0.048982383,126523.980567335,6.197183913,933.198380567,126518.218623482,0.000000000,0.000000000
tx,996,5,937.875549000,0.057604272,1000.023928800,0.061421156,117705.264670907,7.229401612,937.853107345,117702.448210923,0.002920000,0.006529318
tx,1070,5,941.919944800,0.039818340,1000.019679400,0.042274762,110037.376720270,4.651697580,941.901408451,110035.211267606,0.000000000,0.000000000
tx,1144,5,945.482082000,0.031064059,1000.029125000,0.032856506,103308.793917449,3.394242880,945.454545455,103305.785123967,0.000000000,0.000000000
tx,1218,5,948.602553600,0.021386923,1000.004662200,0.022545458,97352.478827666,2.194858708,948.598130841,97352.024922118,0.000520000,0.001162755
tx,1292,5,951.428484800,0.023414879,1000.030869000,0.024611067,92049.969520537,2.265384403,951.399116348,92047.128129602,0.000000000,0.000000000
tx,1366,5,953.943987200,0.025741172,1000.034985000,0.026984566,87293.556669320,2.355497647,953.910614525,87290.502793296,0.000000000,0.000000000
tx,1440,5,956.160224600,0.066763434,999.984234800,0.069823630,83000.019491784,5.795449383,956.175298805,83001.328021248,0.002640000,0.005903219
