test,payload_size,runs,goodput_mbps_mean,goodput_mbps_std,wire_mbps_mean,wire_mbps_std,pps_mean,pps_std,theoretical_goodput_mbps,theoretical_pps,lost_pct_mean,lost_pct_std
loopback,256,5,526.383017400,84.600997743,662.091138800,106.412192651,257022.957600000,41309.080746869,795.031055901,388198.757763975,0.024320000,0.003106767
loopback,330,5,647.871384200,101.263125293,777.445660800,121.515750603,245405.827200000,38357.244470246,833.333333333,315656.565656566,0.004660000,0.001703819
loopback,404,5,820.885460400,86.511217994,954.990511000,100.644239023,253986.838000000,26767.084834748,859.574468085,265957.446808511,0.008640000,0.000563915
loopback,478,5,878.519173200,0.351696151,999.820983600,0.400256503,229738.277200000,91.970705753,878.676470588,229779.411764706,0.029320000,0.041031902
loopback,552,5,893.203872600,0.000001949,999.999988000,0.000002449,202265.369600000,0.000547723,893.203883495,202265.372168285,0.006680000,0.000549545
loopback,626,5,904.624266800,0.000000837,999.999988000,0.000001000,180635.836000000,0.000000000,904.624277457,180635.838150289,0.012560000,0.001346477
loopback,700,5,913.838110200,0.000002280,999.999989400,0.000002510,163185.376800000,0.000447214,913.838120104,163185.378590078,0.027920000,0.016055747
loopback,774,5,921.428562600,0.000002191,999.999990200,0.000002387,148809.522200000,0.000447214,921.428571429,148809.523809524,0.017700000,0.000908295
loopback,848,5,927.789900600,0.000052899,999.999964000,0.000057044,136761.483000000,0.007842194,927.789934354,136761.487964989,0.007880000,0.001001000
loopback,922,5,933.198373000,0.000001000,999.999992000,0.000001000,126518.217800000,0.000447214,933.198380567,126518.218623482,0.050540000,0.003063168
loopback,996,5,937.853100000,0.000001414,999.999992400,0.000001817,117702.447000000,0.000000000,937.853107345,117702.448210923,0.027140000,0.005920135
loopback,1070,5,941.901401600,0.000001817,999.999993000,0.000002000,110035.210600000,0.000547723,941.901408451,110035.211267606,0.036320000,0.002616677
loopback,1144,5,945.454538600,0.000001140,999.999993000,0.000001225,103305.784200000,0.000447214,945.454545455,103305.785123967,0.050100000,0.002031010
loopback,1218,5,948.598075200,0.000111916,999.999941400,0.000118177,97352.019000000,0.011180340,948.598130841,97352.024922118,0.036020000,0.001577023
loopback,1292,5,951.399108800,0.000001483,999.999992200,0.000001483,92047.127200000,0.000447214,951.399116348,92047.128129602,0.036380000,0.001700588
loopback,1366,5,953.910608800,0.000001643,999.999993800,0.000001643,87290.502000000,0.000000000,953.910614525,87290.502793296,0.026100000,0.009980731
loopback,1440,5,956.175291800,0.000001304,999.999992800,0.000001304,83001.327400000,0.000547723,956.175298805,83001.328021248,0.031700000,0.002486966
