timestamp,ip_in_receives,ip_in_hdr_errors,ip_in_addr_errors,ip_in_unknown_protos,ip_in_discards,ip_in_delivers,ip_out_requests,ip_out_discards,ip_out_no_routes,ip_reasm_reqds,ip_reasm_oks,ip_reasm_fails,udp_in_datagrams,udp_no_ports,udp_in_errors,udp_out_datagrams,udp_rcvbuf_errors,udp_sndbuf_errors,udp_in_csum_errors,udp_ignored_multi,udp_mem_errors
1781824956,132700775,0,0,0,0,132700775,124710226,87700581,7,0,0,0,96044870,0,36628366,37009644,36628366,87700581,0,0,0
1781824960,133700489,0,0,0,0,133700489,125710226,87700581,7,0,0,0,96044870,0,37627982,38009644,37627982,87700581,0,0,0
1781824961,133700495,0,0,0,0,133700495,125710234,87700581,7,0,0,0,96044876,0,37627982,38009652,37627982,87700581,0,0,0
1781824966,134700290,0,0,0,0,134700290,126710234,87700581,7,0,0,0,96044876,0,38627679,39009652,38627679,87700581,0,0,0
1781824967,134700296,0,0,0,0,134700296,126710242,87700581,7,0,0,0,96044882,0,38627679,39009660,38627679,87700581,0,0,0
1781824970,135700035,0,0,0,0,135700035,127710242,87700581,7,0,0,0,96044882,0,39627320,40009660,39627320,87700581,0,0,0
1781824971,135700041,0,0,0,0,135700041,127710250,87700581,7,0,0,0,96044888,0,39627320,40009668,39627320,87700581,0,0,0
1781824975,136699810,0,0,0,0,136699810,128710250,87700581,7,0,0,0,96044888,0,40626991,41009668,40626991,87700581,0,0,0
1781824976,136699816,0,0,0,0,136699816,128710258,87700581,7,0,0,0,96044894,0,40626991,41009676,40626991,87700581,0,0,0
1781824980,137699583,0,0,0,0,137699583,129710258,87700581,7,0,0,0,96044894,0,41626660,42009676,41626660,87700581,0,0,0
1781824981,137699589,0,0,0,0,137699589,129710266,87700581,7,0,0,0,96044900,0,41626660,42009684,41626660,87700581,0,0,0
1781824986,138699533,0,0,0,0,138699533,130710266,87700581,7,0,0,0,96044900,0,42626506,43009684,42626506,87700581,0,0,0
1781824987,138699539,0,0,0,0,138699539,130710274,87700581,7,0,0,0,96044906,0,42626506,43009692,42626506,87700581,0,0,0
1781824990,139699482,0,0,0,0,139699482,131710274,87700581,7,0,0,0,96044906,0,43626351,44009692,43626351,87700581,0,0,0
1781824991,139699488,0,0,0,0,139699488,131710282,87700581,7,0,0,0,96044912,0,43626351,44009700,43626351,87700581,0,0,0
1781824996,140699464,0,0,0,0,140699464,132710282,87700581,7,0,0,0,96044912,0,44626229,45009700,44626229,87700581,0,0,0
1781824997,140699470,0,0,0,0,140699470,132710290,87700581,7,0,0,0,96044918,0,44626229,45009708,44626229,87700581,0,0,0
1781825002,141699437,0,0,0,0,141699437,133710290,87700581,7,0,0,0,96044918,0,45626098,46009708,45626098,87700581,0,0,0
1781825003,141699443,0,0,0,0,141699443,133710298,87700581,7,0,0,0,96044924,0,45626098,46009716,45626098,87700581,0,0,0
1781825007,142699380,0,0,0,0,142699380,134710298,87700581,7,0,0,0,96044924,0,46625937,47009716,46625937,87700581,0,0,0
1781825008,142699386,0,0,0,0,142699386,134710306,87700581,7,0,0,0,96044930,0,46625937,47009724,46625937,87700581,0,0,0
1781825011,143699307,0,0,0,0,143699307,135710306,87700581,7,0,0,0,96044930,0,47625760,48009724,47625760,87700581,0,0,0
1781825012,143699313,0,0,0,0,143699313,135710314,87700581,7,0,0,0,96044936,0,47625760,48009732,47625760,87700581,0,0,0
1781825016,144699222,0,0,0,0,144699222,136710314,87700581,7,0,0,0,96044936,0,48625571,49009732,48625571,87700581,0,0,0
1781825017,144699228,0,0,0,0,144699228,136710322,87700581,7,0,0,0,96044942,0,48625571,49009740,48625571,87700581,0,0,0
1781825021,145699144,0,0,0,0,145699144,137710322,87700581,7,0,0,0,96044942,0,49625389,50009740,49625389,87700581,0,0,0
1781825022,145699150,0,0,0,0,145699150,137710330,87700581,7,0,0,0,96044948,0,49625389,50009748,49625389,87700581,0,0,0
1781825026,146699065,0,0,0,0,146699065,138710330,87700581,7,0,0,0,96044948,0,50625206,51009748,50625206,87700581,0,0,0
1781825027,146699071,0,0,0,0,146699071,138710338,87700581,7,0,0,0,96044954,0,50625206,51009756,50625206,87700581,0,0,0
1781825032,147698978,0,0,0,0,147698978,139710338,87700581,7,0,0,0,96044954,0,51625015,52009756,51625015,87700581,0,0,0
1781825033,147698984,0,0,0,0,147698984,139710346,87700581,7,0,0,0,96044960,0,51625015,52009764,51625015,87700581,0,0,0
1781825037,148697957,0,0,0,0,148697957,140710346,87701476,7,0,0,0,96044960,0,52623890,53008869,52623890,87701476,0,0,0
1781825038,148697963,0,0,0,0,148697963,140710354,87701476,7,0,0,0,96044966,0,52623890,53008877,52623890,87701476,0,0,0
1781825043,149697853,0,0,0,0,149697853,141710354,87701476,7,0,0,0,96044966,0,53623682,54008877,53623682,87701476,0,0,0
1781825044,149697859,0,0,0,0,149697859,141710362,87701476,7,0,0,0,96044972,0,53623682,54008885,53623682,87701476,0,0,0
1781825048,150697742,0,0,0,0,150697742,142710362,87701476,7,0,0,0,96044972,0,54623467,55008885,54623467,87701476,0,0,0
1781825049,150697748,0,0,0,0,150697748,142710370,87701476,7,0,0,0,96044978,0,54623467,55008893,54623467,87701476,0,0,0
1781825053,151697630,0,0,0,0,151697630,143710370,87701476,7,0,0,0,96044978,0,55623251,56008893,55623251,87701476,0,0,0
1781825054,151697636,0,0,0,0,151697636,143710378,87701476,7,0,0,0,96044984,0,55623251,56008901,55623251,87701476,0,0,0
1781825059,152697542,0,0,0,0,152697542,144710378,87701476,7,0,0,0,96044984,0,56623059,57008901,56623059,87701476,0,0,0
1781825060,152697548,0,0,0,0,152697548,144710386,87701476,7,0,0,0,96044990,0,56623059,57008909,56623059,87701476,0,0,0
1781825065,153697482,0,0,0,0,153697482,145710386,87701476,7,0,0,0,96044990,0,57622895,58008909,57622895,87701476,0,0,0
1781825066,153697488,0,0,0,0,153697488,145710394,87701476,7,0,0,0,96044996,0,57622895,58008917,57622895,87701476,0,0,0
1781825071,154697425,0,0,0,0,154697425,146710394,87701476,7,0,0,0,96044996,0,58622734,59008917,58622734,87701476,0,0,0
1781825072,154697431,0,0,0,0,154697431,146710402,87701476,7,0,0,0,96045002,0,58622734,59008925,58622734,87701476,0,0,0
1781825077,155697356,0,0,0,0,155697356,147710402,87701476,7,0,0,0,96045002,0,59622561,60008925,59622561,87701476,0,0,0
1781825078,155697362,0,0,0,0,155697362,147710410,87701476,7,0,0,0,96045008,0,59622561,60008933,59622561,87701476,0,0,0
1781825083,156697301,0,0,0,0,156697301,148710410,87701476,7,0,0,0,96045008,0,60622402,61008933,60622402,87701476,0,0,0
1781825084,156697307,0,0,0,0,156697307,148710418,87701476,7,0,0,0,96045014,0,60622402,61008941,60622402,87701476,0,0,0
1781825089,157697238,0,0,0,0,157697238,149710418,87701476,7,0,0,0,96045014,0,61622235,62008941,61622235,87701476,0,0,0
1781825090,157697244,0,0,0,0,157697244,149710426,87701476,7,0,0,0,96045020,0,61622235,62008949,61622235,87701476,0,0,0
1781825096,158697119,0,0,0,0,158697119,150710426,87701476,7,0,0,0,96045020,0,62622012,63008949,62622012,87701476,0,0,0
1781825097,158697125,0,0,0,0,158697125,150710434,87701476,7,0,0,0,96045026,0,62622012,63008957,62622012,87701476,0,0,0
1781825102,159697013,0,0,0,0,159697013,151710434,87701476,7,0,0,0,96045026,0,63621802,64008957,63621802,87701476,0,0,0
1781825103,159697019,0,0,0,0,159697019,151710442,87701476,7,0,0,0,96045032,0,63621802,64008965,63621802,87701476,0,0,0
