test,payload_size,runs,avg_ms_mean,avg_ms_std,lost_pct_mean,lost_pct_std
rtt,256,5,0.089373593,0.000294247,0.000000000,0.000000000
rtt,330,5,0.094484688,0.001462210,0.000000000,0.000000000
rtt,404,5,0.101058756,0.000748533,0.000000000,0.000000000
rtt,478,5,0.105709895,0.000421736,0.000000000,0.000000000
rtt,552,5,0.109683785,0.000401271,0.000000000,0.000000000
rtt,626,5,0.119988193,0.000277152,0.000000000,0.000000000
rtt,700,5,0.123745236,0.000296437,0.000000000,0.000000000
rtt,774,5,0.128129436,0.000252468,0.000000000,0.000000000
rtt,848,5,0.131804380,0.000252865,0.000000000,0.000000000
rtt,922,5,0.136511400,0.001109053,0.000000000,0.000000000
rtt,996,5,0.141060610,0.001232559,0.000000000,0.000000000
rtt,1070,5,0.145294867,0.000784541,0.000000000,0.000000000
rtt,1144,5,0.150163130,0.001211337,0.000000000,0.000000000
rtt,1218,5,0.154520622,0.001202838,0.000000000,0.000000000
rtt,1292,5,0.158192332,0.001251542,0.000000000,0.000000000
rtt,1366,5,0.161970690,0.000643096,0.000000000,0.000000000
rtt,1440,5,0.165792924,0.000122633,0.000000000,0.000000000
