timestamp,ip_in_receives,ip_in_hdr_errors,ip_in_addr_errors,ip_in_unknown_protos,ip_in_discards,ip_in_delivers,ip_out_requests,ip_out_discards,ip_out_no_routes,ip_reasm_reqds,ip_reasm_oks,ip_reasm_fails,udp_in_datagrams,udp_no_ports,udp_in_errors,udp_out_datagrams,udp_rcvbuf_errors,udp_sndbuf_errors,udp_in_csum_errors,udp_ignored_multi,udp_mem_errors
1781837648,35448658,0,0,0,0,35448658,44291040,0,0,0,0,0,10172575,17310,23200978,44290963,23200978,0,0,0,0
1781837650,36448620,0,0,0,0,36448620,45291040,0,0,0,0,0,10172575,17310,24131034,45290963,24131034,0,0,0,0
1781837651,36448626,0,0,0,0,36448626,45291048,0,0,0,0,0,10172581,17310,24131034,45290971,24131034,0,0,0,0
1781837654,37448604,0,0,0,0,37448604,46291048,0,0,0,0,0,10172581,17310,25061106,46290971,25061106,0,0,0,0
1781837655,37448610,0,0,0,0,37448610,46291056,0,0,0,0,0,10172587,17310,25061106,46290979,25061106,0,0,0,0
1781837658,38448594,0,0,0,0,38448594,47291056,0,0,0,0,0,10172587,17310,25991184,47290979,25991184,0,0,0,0
1781837659,38448600,0,0,0,0,38448600,47291064,0,0,0,0,0,10172593,17310,25991184,47290987,25991184,0,0,0,0
1781837661,39448570,0,0,0,0,39448570,48291064,0,0,0,0,0,10172593,17310,26921248,48290987,26921248,0,0,0,0
1781837662,39448576,0,0,0,0,39448576,48291072,0,0,0,0,0,10172599,17310,26921248,48290995,26921248,0,0,0,0
1781837665,40448550,0,0,0,0,40448550,49291072,0,0,0,0,0,10172599,17310,27851316,49290995,27851316,0,0,0,0
1781837666,40448556,0,0,0,0,40448556,49291080,0,0,0,0,0,10172605,17310,27851316,49291003,27851316,0,0,0,0
1781837669,41448522,0,0,0,0,41448522,50291080,0,0,0,0,0,10172605,17310,28785745,50291003,28785745,0,0,0,0
1781837670,41448528,0,0,0,0,41448528,50291088,0,0,0,0,0,10172611,17310,28785745,50291011,28785745,0,0,0,0
1781837673,42448486,0,0,0,0,42448486,51291088,0,0,0,0,0,10172611,17310,29720166,51291011,29720166,0,0,0,0
