timestamp,tx_fifo_overflow,tx_fifo_bad_frame,tx_fifo_good_frame,rx_error_bad_frame,rx_error_bad_fcs,rx_fifo_overflow,rx_fifo_bad_frame,rx_fifo_good_frame,eth_rx_error_header_early_termination,ip_rx_error_header_early_termination,ip_rx_error_payload_early_termination,ip_rx_error_invalid_header,ip_rx_error_invalid_checksum,ip_tx_error_payload_early_termination,ip_tx_error_arp_failed,udp_rx_error_header_early_termination,udp_rx_error_payload_early_termination,udp_tx_error_payload_early_termination,speed,flood,loopback,tx_busy,random,constant,sequential,payload_size_bytes,packets_per_trigger,mac,local_ip,gateway_ip,subnet_mask,dest_ip,src_port,dst_port
1781888649,0,0,170159324,12723,12723,0,12723,85160492,0,0,0,15,0,0,0,0,0,0,1000M,0,1,0,0,0,1,1440,1000000,66:70:67:61:3A:30,192.168.1.12,192.168.1.1,255.255.255.0,192.168.1.110,1234,9999
1781888652,0,0,171159265,12783,12783,0,12783,86160433,0,0,0,15,0,0,0,0,0,0,1000M,0,1,0,0,0,1,1440,1000000,66:70:67:61:3A:30,192.168.1.12,192.168.1.1,255.255.255.0,192.168.1.110,1234,9999
1781888653,0,0,171159270,12783,12783,0,12783,86160440,0,0,0,15,0,0,0,0,0,0,1000M,0,1,0,0,0,1,1440,1000000,66:70:67:61:3A:30,192.168.1.12,192.168.1.1,255.255.255.0,192.168.1.110,1234,9999
1781888655,0,0,172159164,12890,12890,0,12890,87160334,0,0,0,15,0,0,0,0,0,0,1000M,0,1,0,0,0,1,1440,1000000,66:70:67:61:3A:30,192.168.1.12,192.168.1.1,255.255.255.0,192.168.1.110,1234,9999
1781888656,0,0,172159169,12890,12890,0,12890,87160341,0,0,0,15,0,0,0,0,0,0,1000M,0,1,0,0,0,1,1440,1000000,66:70:67:61:3A:30,192.168.1.12,192.168.1.1,255.255.255.0,192.168.1.110,1234,9999
1781888659,0,0,173159110,12950,12950,0,12950,88160282,0,0,0,15,0,0,0,0,0,0,1000M,0,1,0,0,0,1,1440,1000000,66:70:67:61:3A:30,192.168.1.12,192.168.1.1,255.255.255.0,192.168.1.110,1234,9999
1781888660,0,0,173159115,12950,12950,0,12950,88160289,0,0,0,15,0,0,0,0,0,0,1000M,0,1,0,0,0,1,1440,1000000,66:70:67:61:3A:30,192.168.1.12,192.168.1.1,255.255.255.0,192.168.1.110,1234,9999
1781888663,0,0,174159028,13038,13038,0,13038,89160202,0,0,0,15,0,0,0,0,0,0,1000M,0,1,0,0,0,1,1440,1000000,66:70:67:61:3A:30,192.168.1.12,192.168.1.1,255.255.255.0,192.168.1.110,1234,9999
1781888664,0,0,174159033,13038,13038,0,13038,89160209,0,0,0,15,0,0,0,0,0,0,1000M,0,1,0,0,0,1,1440,1000000,66:70:67:61:3A:30,192.168.1.12,192.168.1.1,255.255.255.0,192.168.1.110,1234,9999
1781888666,0,0,175158943,13129,13129,0,13129,90160119,0,0,0,15,0,0,0,0,0,0,1000M,0,1,0,0,0,1,1440,1000000,66:70:67:61:3A:30,192.168.1.12,192.168.1.1,255.255.255.0,192.168.1.110,1234,9999
1781888667,0,0,175158948,13129,13129,0,13129,90160126,0,0,0,15,0,0,0,0,0,0,1000M,0,1,0,0,0,1,1440,1000000,66:70:67:61:3A:30,192.168.1.12,192.168.1.1,255.255.255.0,192.168.1.110,1234,9999
1781888670,0,0,176158844,13234,13234,0,13234,91160022,0,0,0,15,0,0,0,0,0,0,1000M,0,1,0,0,0,1,1440,1000000,66:70:67:61:3A:30,192.168.1.12,192.168.1.1,255.255.255.0,192.168.1.110,1234,9999
1781888671,0,0,176158849,13234,13234,0,13234,91160029,0,0,0,15,0,0,0,0,0,0,1000M,0,1,0,0,0,1,1440,1000000,66:70:67:61:3A:30,192.168.1.12,192.168.1.1,255.255.255.0,192.168.1.110,1234,9999
1781888675,0,0,177158735,13349,13349,0,13349,92159915,0,0,0,15,0,0,0,0,0,0,1000M,0,1,0,0,0,1,1440,1000000,66:70:67:61:3A:30,192.168.1.12,192.168.1.1,255.255.255.0,192.168.1.110,1234,9999
1781888676,0,0,177158740,13349,13349,0,13349,92159922,0,0,0,15,0,0,0,0,0,0,1000M,0,1,0,0,0,1,1440,1000000,66:70:67:61:3A:30,192.168.1.12,192.168.1.1,255.255.255.0,192.168.1.110,1234,9999
1781888679,0,0,178158656,13434,13434,0,13434,93159838,0,0,0,15,0,0,0,0,0,0,1000M,0,1,0,0,0,1,1440,1000000,66:70:67:61:3A:30,192.168.1.12,192.168.1.1,255.255.255.0,192.168.1.110,1234,9999
1781888680,0,0,178158661,13434,13434,0,13434,93159845,0,0,0,15,0,0,0,0,0,0,1000M,0,1,0,0,0,1,1440,1000000,66:70:67:61:3A:30,192.168.1.12,192.168.1.1,255.255.255.0,192.168.1.110,1234,9999
1781888683,0,0,179158550,13546,13546,0,13546,94159734,0,0,0,15,0,0,0,0,0,0,1000M,0,1,0,0,0,1,1440,1000000,66:70:67:61:3A:30,192.168.1.12,192.168.1.1,255.255.255.0,192.168.1.110,1234,9999
1781888684,0,0,179158555,13546,13546,0,13546,94159741,0,0,0,15,0,0,0,0,0,0,1000M,0,1,0,0,0,1,1440,1000000,66:70:67:61:3A:30,192.168.1.12,192.168.1.1,255.255.255.0,192.168.1.110,1234,9999
1781888687,0,0,180158455,13647,13647,0,13647,95159641,0,0,0,15,0,0,0,0,0,0,1000M,0,1,0,0,0,1,1440,1000000,66:70:67:61:3A:30,192.168.1.12,192.168.1.1,255.255.255.0,192.168.1.110,1234,9999
1781888688,0,0,180158460,13647,13647,0,13647,95159648,0,0,0,15,0,0,0,0,0,0,1000M,0,1,0,0,0,1,1440,1000000,66:70:67:61:3A:30,192.168.1.12,192.168.1.1,255.255.255.0,192.168.1.110,1234,9999
1781888692,0,0,181158449,13659,13659,0,13659,96159637,0,0,0,15,0,0,0,0,0,0,1000M,0,1,0,0,0,1,1440,1000000,66:70:67:61:3A:30,192.168.1.12,192.168.1.1,255.255.255.0,192.168.1.110,1234,9999
1781888693,0,0,181158454,13659,13659,0,13659,96159644,0,0,0,15,0,0,0,0,0,0,1000M,0,1,0,0,0,1,1440,1000000,66:70:67:61:3A:30,192.168.1.12,192.168.1.1,255.255.255.0,192.168.1.110,1234,9999
1781888697,0,0,182158421,13693,13693,0,13693,97159611,0,0,0,15,0,0,0,0,0,0,1000M,0,1,0,0,0,1,1440,1000000,66:70:67:61:3A:30,192.168.1.12,192.168.1.1,255.255.255.0,192.168.1.110,1234,9999
1781888698,0,0,182158426,13693,13693,0,13693,97159618,0,0,0,15,0,0,0,0,0,0,1000M,0,1,0,0,0,1,1440,1000000,66:70:67:61:3A:30,192.168.1.12,192.168.1.1,255.255.255.0,192.168.1.110,1234,9999
1781888702,0,0,183158401,13719,13719,0,13719,98159593,0,0,0,15,0,0,0,0,0,0,1000M,0,1,0,0,0,1,1440,1000000,66:70:67:61:3A:30,192.168.1.12,192.168.1.1,255.255.255.0,192.168.1.110,1234,9999
1781888703,0,0,183158406,13719,13719,0,13719,98159600,0,0,0,15,0,0,0,0,0,0,1000M,0,1,0,0,0,1,1440,1000000,66:70:67:61:3A:30,192.168.1.12,192.168.1.1,255.255.255.0,192.168.1.110,1234,9999
1781888707,0,0,184158361,13765,13765,0,13765,99159555,0,0,0,15,0,0,0,0,0,0,1000M,0,1,0,0,0,1,1440,1000000,66:70:67:61:3A:30,192.168.1.12,192.168.1.1,255.255.255.0,192.168.1.110,1234,9999
1781888708,0,0,184158366,13765,13765,0,13765,99159562,0,0,0,15,0,0,0,0,0,0,1000M,0,1,0,0,0,1,1440,1000000,66:70:67:61:3A:30,192.168.1.12,192.168.1.1,255.255.255.0,192.168.1.110,1234,9999
1781888711,0,0,185158328,13804,13804,0,13804,100159524,0,0,0,15,0,0,0,0,0,0,1000M,0,1,0,0,0,1,1440,1000000,66:70:67:61:3A:30,192.168.1.12,192.168.1.1,255.255.255.0,192.168.1.110,1234,9999
1781888712,0,0,185158333,13804,13804,0,13804,100159531,0,0,0,15,0,0,0,0,0,0,1000M,0,1,0,0,0,1,1440,1000000,66:70:67:61:3A:30,192.168.1.12,192.168.1.1,255.255.255.0,192.168.1.110,1234,9999
1781888717,0,0,186158272,13866,13866,0,13866,101159470,0,0,0,15,0,0,0,0,0,0,1000M,0,1,0,0,0,1,1440,1000000,66:70:67:61:3A:30,192.168.1.12,192.168.1.1,255.255.255.0,192.168.1.110,1234,9999
1781888718,0,0,186158277,13866,13866,0,13866,101159477,0,0,0,15,0,0,0,0,0,0,1000M,0,1,0,0,0,1,1440,1000000,66:70:67:61:3A:30,192.168.1.12,192.168.1.1,255.255.255.0,192.168.1.110,1234,9999
1781888722,0,0,187158203,13941,13941,0,13941,102159403,0,0,0,15,0,0,0,0,0,0,1000M,0,1,0,0,0,1,1440,1000000,66:70:67:61:3A:30,192.168.1.12,192.168.1.1,255.255.255.0,192.168.1.110,1234,9999
1781888723,0,0,187158208,13941,13941,0,13941,102159410,0,0,0,15,0,0,0,0,0,0,1000M,0,1,0,0,0,1,1440,1000000,66:70:67:61:3A:30,192.168.1.12,192.168.1.1,255.255.255.0,192.168.1.110,1234,9999
1781888728,0,0,188158154,13996,13996,0,13996,103159356,0,0,0,15,0,0,0,0,0,0,1000M,0,1,0,0,0,1,1440,1000000,66:70:67:61:3A:30,192.168.1.12,192.168.1.1,255.255.255.0,192.168.1.110,1234,9999
