timestamp,iface,fpga_ip,fpga_ctrl_port,fpga_data_port,local_port,requested_packets,payload_size,sent_packets,send_errors,drained_packets,elapsed_s,payload_mbps,estimated_wire_mbps,iface_tx_packets_delta,iface_rx_packets_delta,iface_tx_bytes_delta,iface_rx_bytes_delta,iface_tx_errors_delta,iface_rx_errors_delta,iface_tx_dropped_delta,iface_rx_dropped_delta,ip_in_receives_delta,ip_in_discards_delta,ip_out_requests_delta,ip_out_discards_delta,udp_out_delta,udp_in_delta,udp_no_ports_delta,udp_in_errors_delta,udp_rcvbuf_errors_delta,udp_sndbuf_errors_delta,fpga_rx_good_delta,fpga_tx_good_delta,fpga_rx_bad_delta,fpga_tx_bad_delta,fpga_rx_overflow_delta,fpga_tx_overflow_delta,fpga_bad_fcs_delta,fpga_ip_rx_header_error_delta,fpga_ip_rx_payload_error_delta,fpga_ip_invalid_header_delta,fpga_ip_invalid_checksum_delta,fpga_ip_tx_payload_error_delta,fpga_ip_tx_arp_failed_delta,fpga_udp_rx_header_error_delta,fpga_udp_rx_payload_error_delta,fpga_udp_tx_payload_error_delta,host_tx_to_fpga_rx_gap,fpga_rx_to_tx_gap,fpga_tx_to_host_rx_gap
1781888652,nic0,192.168.1.12,55555,1234,9999,1000000,256,1000000,0,0,2.576000022,795.031049,999.999991,1000000,999940,298000000,297982120,0,0,0,0,999940,0,1000000,0,1000000,0,0,970812,970812,0,999940,999940,60,0,0,0,60,0,0,0,0,0,0,0,0,0,60,0,0
1781888656,nic0,192.168.1.12,55555,1234,9999,1000000,256,1000000,0,0,2.576000031,795.031046,999.999988,1000000,999893,298000000,297968114,0,0,0,0,999893,0,1000000,0,1000000,0,0,970765,970765,0,999893,999893,107,0,0,0,107,0,0,0,0,0,0,0,0,0,107,0,0
1781888659,nic0,192.168.1.12,55555,1234,9999,1000000,256,1000000,0,0,2.576000033,795.031046,999.999987,1000000,999940,298000000,297982120,0,0,0,0,999940,0,1000000,0,1000000,0,0,970812,970812,0,999940,999940,60,0,0,0,60,0,0,0,0,0,0,0,0,0,60,0,0
1781888663,nic0,192.168.1.12,55555,1234,9999,1000000,256,1000000,0,0,2.576000026,795.031048,999.999990,1000000,999912,298000000,297973776,0,0,0,0,999912,0,1000000,0,1000000,0,0,970784,970784,0,999912,999912,88,0,0,0,88,0,0,0,0,0,0,0,0,0,88,0,0
1781888667,nic0,192.168.1.12,55555,1234,9999,1000000,256,1000000,0,0,2.576000037,795.031044,999.999986,1000000,999909,298000000,297972882,0,0,0,0,999909,0,1000000,0,1000000,0,0,970781,970781,0,999909,999909,91,0,0,0,91,0,0,0,0,0,0,0,0,0,91,0,0
1781888671,nic0,192.168.1.12,55555,1234,9999,1000000,330,1000000,0,0,3.168000031,833.333325,999.999990,1000000,999895,372000000,371960940,0,0,0,0,999895,0,1000000,0,1000000,0,0,970767,970767,0,999895,999895,105,0,0,0,105,0,0,0,0,0,0,0,0,0,105,0,0
1781888675,nic0,192.168.1.12,55555,1234,9999,1000000,330,1000000,0,0,3.168000038,833.333323,999.999988,1000000,999885,372000000,371957220,0,0,0,0,999885,0,1000000,0,1000000,0,0,970757,970757,0,999885,999885,115,0,0,0,115,0,0,0,0,0,0,0,0,0,115,0,0
1781888679,nic0,192.168.1.12,55555,1234,9999,1000000,330,1000000,0,0,3.168000022,833.333328,999.999993,1000000,999915,372000000,371968380,0,0,0,0,999915,0,1000000,0,1000000,0,0,970787,970787,0,999915,999915,85,0,0,0,85,0,0,0,0,0,0,0,0,0,85,0,0
1781888684,nic0,192.168.1.12,55555,1234,9999,1000000,330,1000000,0,0,3.168000036,833.333324,999.999989,1000000,999888,372000000,371958336,0,0,0,0,999888,0,1000000,0,1000000,0,0,970760,970760,0,999888,999888,112,0,0,0,112,0,0,0,0,0,0,0,0,0,112,0,0
1781888688,nic0,192.168.1.12,55555,1234,9999,1000000,330,1000000,0,0,3.168000034,833.333324,999.999989,1000000,999899,372000000,371962428,0,0,0,0,999899,0,1000000,0,1000000,0,0,970771,970771,0,999899,999899,101,0,0,0,101,0,0,0,0,0,0,0,0,0,101,0,0
1781888693,nic0,192.168.1.12,55555,1234,9999,1000000,404,1000000,0,0,3.760000031,859.574461,999.999992,1000000,999988,446000000,445994648,0,0,0,0,999988,0,1000000,0,1000000,0,0,970860,970860,0,999988,999988,12,0,0,0,12,0,0,0,0,0,0,0,0,0,12,0,0
1781888697,nic0,192.168.1.12,55555,1234,9999,1000000,404,1000000,0,0,3.760000032,859.574461,999.999991,1000000,999966,446000000,445984836,0,0,0,0,999966,0,1000000,0,1000000,0,0,970838,970838,0,999966,999966,34,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0
1781888702,nic0,192.168.1.12,55555,1234,9999,1000000,404,1000000,0,0,3.760000033,859.574461,999.999991,1000000,999974,446000000,445988404,0,0,0,0,999974,0,1000000,0,1000000,0,0,970846,970846,0,999974,999974,26,0,0,0,26,0,0,0,0,0,0,0,0,0,26,0,0
1781888707,nic0,192.168.1.12,55555,1234,9999,1000000,404,1000000,0,0,3.760000035,859.574460,999.999991,1000000,999954,446000000,445979484,0,0,0,0,999954,0,1000000,0,1000000,0,0,970826,970826,0,999954,999954,46,0,0,0,46,0,0,0,0,0,0,0,0,0,46,0,0
1781888712,nic0,192.168.1.12,55555,1234,9999,1000000,404,1000000,0,0,3.760000025,859.574462,999.999993,1000000,999961,446000000,445982606,0,0,0,0,999961,0,1000000,0,1000000,0,0,970833,970833,0,999961,999961,39,0,0,0,39,0,0,0,0,0,0,0,0,0,39,0,0
1781888717,nic0,192.168.1.12,55555,1234,9999,1000000,478,1000000,0,0,4.352000038,878.676463,999.999991,1000000,999938,520000000,519967760,0,0,0,0,999938,0,1000000,0,1000000,0,0,970810,970810,0,999938,999938,62,0,0,0,62,0,0,0,0,0,0,0,0,0,62,0,0
1781888723,nic0,192.168.1.12,55555,1234,9999,1000000,478,1000000,0,0,4.352000036,878.676463,999.999992,1000000,999925,520000000,519961000,0,0,0,0,999925,0,1000000,0,1000000,0,0,970797,970797,0,999925,999925,75,0,0,0,75,0,0,0,0,0,0,0,0,0,75,0,0
1781888728,nic0,192.168.1.12,55555,1234,9999,1000000,478,1000000,0,0,4.352000039,878.676463,999.999991,1000000,999945,520000000,519971400,0,0,0,0,999945,0,1000000,0,1000000,0,0,970817,970817,0,999945,999945,55,0,0,0,55,0,0,0,0,0,0,0,0,0,55,0,0
1781888734,nic0,192.168.1.12,55555,1234,9999,1000000,478,1000000,0,0,4.352000032,878.676464,999.999993,1000000,999937,520000000,519967240,0,0,0,0,999937,0,1000000,0,1000000,0,0,970809,970809,0,999937,999937,63,0,0,0,63,0,0,0,0,0,0,0,0,0,63,0,0
1781888739,nic0,192.168.1.12,55555,1234,9999,1000000,478,1000000,0,0,4.352000030,878.676465,999.999993,1000000,999921,520000000,519958920,0,0,0,0,999921,0,1000000,0,1000000,0,0,970793,970793,0,999921,999921,79,0,0,0,79,0,0,0,0,0,0,0,0,0,79,0,0
1781888745,nic0,192.168.1.12,55555,1234,9999,1000000,552,1000000,0,0,4.944000025,893.203879,999.999995,1000000,999866,594000000,593920404,0,0,0,0,999866,0,1000000,0,1000000,0,0,970738,970738,0,999866,999866,134,0,0,0,134,0,0,0,0,0,0,0,0,0,134,0,0
1781888751,nic0,192.168.1.12,55555,1234,9999,1000000,552,1000000,0,0,4.944000036,893.203877,999.999993,1000000,999873,594000000,593924562,0,0,0,0,999873,0,1000000,0,1000000,0,0,970745,970745,0,999873,999873,127,0,0,0,127,0,0,0,0,0,0,0,0,0,127,0,0
1781888757,nic0,192.168.1.12,55555,1234,9999,1000000,552,1000000,0,0,4.944000035,893.203877,999.999993,1000000,999935,594000000,593961390,0,0,0,0,999935,0,1000000,0,1000000,0,0,970807,970807,0,999935,999935,65,0,0,0,65,0,0,0,0,0,0,0,0,0,65,0,0
1781888763,nic0,192.168.1.12,55555,1234,9999,1000000,552,1000000,0,0,4.944000029,893.203878,999.999994,1000000,999933,594000000,593960202,0,0,0,0,999933,0,1000000,0,1000000,0,0,970805,970805,0,999933,999933,67,0,0,0,67,0,0,0,0,0,0,0,0,0,67,0,0
1781888769,nic0,192.168.1.12,55555,1234,9999,1000000,552,1000000,0,0,4.944000020,893.203880,999.999996,1000000,999897,594000000,593938818,0,0,0,0,999897,0,1000000,0,1000000,0,0,970769,970769,0,999897,999897,103,0,0,0,103,0,0,0,0,0,0,0,0,0,103,0,0
1781888776,nic0,192.168.1.12,55555,1234,9999,1000000,626,1000000,0,0,5.536000023,904.624274,999.999996,1000000,999879,668000000,667919172,0,0,0,0,999879,0,1000000,0,1000000,0,0,970751,970751,0,999879,999879,121,0,0,0,121,0,0,0,0,0,0,0,0,0,121,0,0
1781888782,nic0,192.168.1.12,55555,1234,9999,1000000,626,1000000,0,0,5.536000021,904.624274,999.999996,1000000,999876,668000000,667917168,0,0,0,0,999876,0,1000000,0,1000000,0,0,970748,970748,0,999876,999876,124,0,0,0,124,0,0,0,0,0,0,0,0,0,124,0,0
1781888789,nic0,192.168.1.12,55555,1234,9999,1000000,626,1000000,0,0,5.536000036,904.624272,999.999993,1000000,999831,668000000,667887108,0,0,0,0,999831,0,1000000,0,1000000,0,0,970703,970703,0,999831,999831,169,0,0,0,169,0,0,0,0,0,0,0,0,0,169,0,0
1781888795,nic0,192.168.1.12,55555,1234,9999,1000000,626,1000000,0,0,5.536000023,904.624274,999.999996,1000000,999892,668000000,667927856,0,0,0,0,999892,0,1000000,0,1000000,0,0,970764,970764,0,999892,999892,108,0,0,0,108,0,0,0,0,0,0,0,0,0,108,0,0
1781888802,nic0,192.168.1.12,55555,1234,9999,1000000,626,1000000,0,0,5.536000029,904.624273,999.999995,1000000,999847,668000000,667897796,0,0,0,0,999847,0,1000000,0,1000000,0,0,970719,970719,0,999847,999847,153,0,0,0,153,0,0,0,0,0,0,0,0,0,153,0,0
1781888809,nic0,192.168.1.12,55555,1234,9999,1000000,700,1000000,0,0,6.128000034,913.838115,999.999994,1000000,999869,742000000,741902798,0,0,0,0,999869,0,1000000,0,1000000,0,0,970741,970741,0,999869,999869,131,0,0,0,131,0,0,0,0,0,0,0,0,0,131,0,0
1781888816,nic0,192.168.1.12,55555,1234,9999,1000000,700,1000000,0,0,6.128000038,913.838114,999.999994,1000000,999835,742000000,741877570,0,0,0,0,999835,0,1000000,0,1000000,0,0,970707,970707,0,999835,999835,165,0,0,0,165,0,0,0,0,0,0,0,0,0,165,0,0
1781888823,nic0,192.168.1.12,55555,1234,9999,1000000,700,1000000,0,0,6.128000030,913.838116,999.999995,1000000,999860,742000000,741896120,0,0,0,0,999860,0,1000000,0,1000000,0,0,970732,970732,0,999860,999860,140,0,0,0,140,0,0,0,0,0,0,0,0,0,140,0,0
1781888831,nic0,192.168.1.12,55555,1234,9999,1000000,700,1000000,0,0,6.128000029,913.838116,999.999995,1000000,999859,742000000,741895378,0,0,0,0,999859,0,1000000,0,1000000,0,0,970731,970731,0,999859,999859,141,0,0,0,141,0,0,0,0,0,0,0,0,0,141,0,0
1781888838,nic0,192.168.1.12,55555,1234,9999,1000000,700,1000000,0,0,6.128000027,913.838116,999.999996,1000000,999865,742000000,741899830,0,0,0,0,999865,0,1000000,0,1000000,0,0,970737,970737,0,999865,999865,135,0,0,0,135,0,0,0,0,0,0,0,0,0,135,0,0
1781888846,nic0,192.168.1.12,55555,1234,9999,1000000,774,1000000,0,0,6.720000025,921.428568,999.999996,1000000,999949,816000000,815958384,0,0,0,0,999949,0,1000000,0,1000000,0,0,970821,970821,0,999949,999949,51,0,0,0,51,0,0,0,0,0,0,0,0,0,51,0,0
1781888853,nic0,192.168.1.12,55555,1234,9999,1000000,774,1000000,0,0,6.720000039,921.428566,999.999994,1000000,999965,816000000,815971440,0,0,0,0,999965,0,1000000,0,1000000,0,0,970837,970837,0,999965,999965,35,0,0,0,35,0,0,0,0,0,0,0,0,0,35,0,0
1781888861,nic0,192.168.1.12,55555,1234,9999,1000000,774,1000000,0,0,6.720000021,921.428569,999.999997,1000000,999954,816000000,815962464,0,0,0,0,999954,0,1000000,0,1000000,0,0,970826,970826,0,999954,999954,32,0,14,0,32,0,0,0,0,0,0,0,0,0,46,0,0
1781888869,nic0,192.168.1.12,55555,1234,9999,1000000,774,1000000,0,0,6.720000020,921.428569,999.999997,1000000,999979,816000000,815982864,0,0,0,0,999979,0,1000000,0,1000000,0,0,970851,970851,0,999979,999979,21,0,0,0,21,0,0,0,0,0,0,0,0,0,21,0,0
