test,payload_size,runs,goodput_mbps_mean,goodput_mbps_std,wire_mbps_mean,wire_mbps_std,pps_mean,pps_std,theoretical_goodput_mbps,theoretical_pps,lost_pct_mean,lost_pct_std
loopback,256,5,795.031046600,0.000001949,999.999988400,0.000002074,388198.753200000,0.000836660,795.031055901,388198.757763975,0.008120000,0.002065672
loopback,330,5,833.333324800,0.000001924,999.999989800,0.000001924,315656.562400000,0.000547723,833.333333333,315656.565656566,0.010360000,0.001178134
loopback,404,5,859.574461000,0.000000707,999.999991600,0.000000894,265957.444600000,0.000547723,859.574468085,265957.446808511,0.003140000,0.001306905
loopback,478,5,878.676463600,0.000000894,999.999992000,0.000001000,229779.410000000,0.000000000,878.676470588,229779.411764706,0.006680000,0.000990959
loopback,552,5,893.203878200,0.000001304,999.999994200,0.000001304,202265.371000000,0.000000000,893.203883495,202265.372168285,0.009920000,0.003242221
loopback,626,5,904.624273400,0.000000894,999.999995200,0.000001304,180635.837000000,0.000000000,904.624277457,180635.838150289,0.013500000,0.002512966
loopback,700,5,913.838115400,0.000000894,999.999994800,0.000000837,163185.378000000,0.000000000,913.838120104,163185.378590078,0.014240000,0.001325896
loopback,774,5,921.428567800,0.000001304,999.999996000,0.000001225,148809.523000000,0.000000000,921.428571429,148809.523809524,0.003360000,0.001551773
loopback,848,5,927.789930400,0.000000548,999.999995400,0.000000548,136761.487000000,0.000000000,927.789934354,136761.487964989,0.007220000,0.000486826
loopback,922,5,933.198377000,0.000001000,999.999996200,0.000000837,126518.218000000,0.000000000,933.198380567,126518.218623482,0.007820000,0.003055651
loopback,996,5,937.853103800,0.000000447,999.999996400,0.000000894,117702.448000000,0.000000000,937.853107345,117702.448210923,0.010180000,0.002304778
loopback,1070,5,941.901405200,0.000000447,999.999996800,0.000000837,110035.211000000,0.000000000,941.901408451,110035.211267606,0.008060000,0.000782943
loopback,1144,5,945.454542400,0.000000548,999.999996800,0.000000447,103305.785000000,0.000000000,945.454545455,103305.785123967,0.003500000,0.001604681
loopback,1218,5,948.598128200,0.000000447,999.999997000,0.000000707,97352.025000000,0.000000000,948.598130841,97352.024922118,0.010020000,0.000661060
loopback,1292,5,951.399113600,0.000000548,999.999997200,0.000000447,92047.128000000,0.000000000,951.399116348,92047.128129602,0.012200000,0.001607794
loopback,1366,5,953.910612000,0.000000707,999.999997400,0.000000548,87290.503000000,0.000000000,953.910614525,87290.502793296,0.008360000,0.001038268
loopback,1440,5,956.175296200,0.000000447,999.999997200,0.000000447,83001.328000000,0.000000000,956.175298805,83001.328021248,0.014140000,0.002192715
