timestamp,test,payload_size,run,packets,returncode,command
1781888558,rtt,256,1,1000,0,/root/etherbench/etherbench fpga-rtt 192.168.1.12 1000 256 1234 9999 55555
1781888559,rtt,256,2,1000,0,/root/etherbench/etherbench fpga-rtt 192.168.1.12 1000 256 1234 9999 55555
1781888560,rtt,256,3,1000,0,/root/etherbench/etherbench fpga-rtt 192.168.1.12 1000 256 1234 9999 55555
1781888561,rtt,256,4,1000,0,/root/etherbench/etherbench fpga-rtt 192.168.1.12 1000 256 1234 9999 55555
1781888562,rtt,256,5,1000,0,/root/etherbench/etherbench fpga-rtt 192.168.1.12 1000 256 1234 9999 55555
1781888563,rtt,330,1,1000,0,/root/etherbench/etherbench fpga-rtt 192.168.1.12 1000 330 1234 9999 55555
1781888564,rtt,330,2,1000,0,/root/etherbench/etherbench fpga-rtt 192.168.1.12 1000 330 1234 9999 55555
1781888565,rtt,330,3,1000,0,/root/etherbench/etherbench fpga-rtt 192.168.1.12 1000 330 1234 9999 55555
1781888566,rtt,330,4,1000,0,/root/etherbench/etherbench fpga-rtt 192.168.1.12 1000 330 1234 9999 55555
1781888568,rtt,330,5,1000,0,/root/etherbench/etherbench fpga-rtt 192.168.1.12 1000 330 1234 9999 55555
1781888569,rtt,404,1,1000,0,/root/etherbench/etherbench fpga-rtt 192.168.1.12 1000 404 1234 9999 55555
1781888570,rtt,404,2,1000,0,/root/etherbench/etherbench fpga-rtt 192.168.1.12 1000 404 1234 9999 55555
1781888571,rtt,404,3,1000,0,/root/etherbench/etherbench fpga-rtt 192.168.1.12 1000 404 1234 9999 55555
1781888572,rtt,404,4,1000,0,/root/etherbench/etherbench fpga-rtt 192.168.1.12 1000 404 1234 9999 55555
1781888573,rtt,404,5,1000,0,/root/etherbench/etherbench fpga-rtt 192.168.1.12 1000 404 1234 9999 55555
1781888574,rtt,478,1,1000,0,/root/etherbench/etherbench fpga-rtt 192.168.1.12 1000 478 1234 9999 55555
1781888575,rtt,478,2,1000,0,/root/etherbench/etherbench fpga-rtt 192.168.1.12 1000 478 1234 9999 55555
1781888576,rtt,478,3,1000,0,/root/etherbench/etherbench fpga-rtt 192.168.1.12 1000 478 1234 9999 55555
1781888577,rtt,478,4,1000,0,/root/etherbench/etherbench fpga-rtt 192.168.1.12 1000 478 1234 9999 55555
1781888578,rtt,478,5,1000,0,/root/etherbench/etherbench fpga-rtt 192.168.1.12 1000 478 1234 9999 55555
1781888579,rtt,552,1,1000,0,/root/etherbench/etherbench fpga-rtt 192.168.1.12 1000 552 1234 9999 55555
1781888580,rtt,552,2,1000,0,/root/etherbench/etherbench fpga-rtt 192.168.1.12 1000 552 1234 9999 55555
