test,payload_size,runs,goodput_mbps_mean,goodput_mbps_std,wire_mbps_mean,wire_mbps_std,pps_mean,pps_std,theoretical_goodput_mbps,theoretical_pps,lost_pct_mean,lost_pct_std
loopback,256,5,483.855582200,22.259315891,608.599599800,27.998045818,236257.608600000,10868.806401744,795.031055901,388198.757763975,0.005600000,0.003435113
loopback,330,5,564.922931000,72.749509470,677.907517400,87.299411387,213985.958600000,27556.632372882,833.333333333,315656.565656566,0.008400000,0.003577709
loopback,404,5,879.116707000,175.171648752,1022.734782800,203.788799550,272003.931400000,54199.148581316,859.574468085,265957.446808511,18.378400000,11.482510649
loopback,478,5,1741.656443600,294.219956419,1982.136203800,334.844469015,455454.091200000,76940.365038495,878.676470588,229779.411764706,59.023000000,10.700307846
loopback,552,5,1934.839576000,649.441585794,2166.179090600,727.092210394,438143.020000000,147065.576388582,893.203883495,202265.372168285,55.107000000,30.897056114
loopback,626,5,2251.751443400,677.147876074,2489.156547600,748.540463956,449630.879200000,135213.234297943,904.624277457,180635.838150289,63.391400000,19.533819271
loopback,700,5,2986.052381200,263.054697563,3267.594463000,287.856997943,533223.639400000,46974.052944807,913.838120104,163185.378590078,76.359800000,3.068533477
loopback,774,5,3365.159504800,279.753823610,3652.111090400,303.608800498,543468.912400000,45179.881200208,921.428571429,148809.523809524,78.884600000,2.542858982
loopback,848,5,3683.167421000,224.025845245,3969.829036400,241.461818961,542919.726200000,33022.677872385,927.789934354,136761.487964989,80.540000000,1.580741914
loopback,922,5,4125.404467000,350.709256187,4420.715416000,375.814256847,559301.039400000,47547.350086940,933.198380567,126518.218623482,82.488200000,2.164814819
loopback,996,5,4494.147834400,359.837350528,4791.952811600,383.681994466,564024.577800000,45160.309944146,937.853107345,117702.448210923,83.800600000,1.855590822
loopback,1070,5,4362.807762600,491.908186623,4631.915531000,522.250187136,509673.804200000,57465.909626583,941.901408451,110035.211267606,82.594400000,2.277977019
loopback,1144,5,4767.859524400,808.032144627,5042.928343000,854.649383719,520963.671800000,88290.225690128,945.454545455,103305.785123967,83.675400000,3.983325533
loopback,1218,5,5634.489528000,522.012568107,5939.806694600,550.298963597,578252.209400000,53572.718257206,948.598130841,97352.024922118,86.721600000,1.796134266
loopback,1292,5,5964.237005200,573.045443852,6268.911651200,602.318663006,577035.313800000,55441.703218170,951.399116348,92047.128129602,87.341000000,1.771048136
loopback,1366,5,6324.526177400,375.774871004,6630.103577000,393.930904382,578745.074800000,34386.426614692,953.910614525,87290.502793296,88.041600000,0.963365351
loopback,1440,5,6606.013339600,681.535671695,6908.788951000,712.772723372,573438.657600000,59161.082573923,956.175298805,83001.328021248,88.345600000,1.717566389
