test,payload_size,runs,goodput_mbps_mean,goodput_mbps_std,wire_mbps_mean,wire_mbps_std,pps_mean,pps_std,theoretical_goodput_mbps,theoretical_pps,lost_pct_mean,lost_pct_std
tx,256,5,796.793032600,1.006999968,1002.216236400,1.266616727,389059.097956265,491.699116279,795.031055901,388198.757763975,0.000000000,0.000000000
tx,330,5,834.513468000,0.909719275,1001.416161600,1.091663244,316103.586287432,344.590712266,833.333333333,315656.565656566,0.000000000,0.000000000
tx,404,5,860.495731800,0.578463974,1001.071767600,0.672965415,266242.491297276,178.980128808,859.574468085,265957.446808511,0.000000000,0.000000000
tx,478,5,879.555317800,0.749224526,1001.000194200,0.852674337,230009.235773669,195.926967710,878.676470588,229779.411764706,0.000000000,0.000000000
tx,552,5,894.222479200,0.489813559,1001.140384400,0.548378528,202496.032408139,110.917971834,893.203883495,202265.372168285,0.000000000,0.000000000
tx,626,5,905.178680800,0.637734536,1000.612854600,0.704971814,180746.541665999,127.343160472,904.624277457,180635.838150289,0.000000000,0.000000000
tx,700,5,914.768303600,0.377583260,1001.017886400,0.413183857,163351.482799617,67.425582458,913.838120104,163185.378590078,0.000000000,0.000000000
tx,774,5,922.026645200,0.510120064,1000.649072000,0.553618952,148906.111940725,82.383743556,921.428571429,148809.523809524,0.000000000,0.000000000
tx,848,5,928.232829000,0.322024934,1000.477365200,0.347088214,136826.773154569,47.468290519,927.789934354,136761.487964989,0.000000000,0.000000000
tx,922,5,933.975373200,0.459601079,1000.832612400,0.492500826,126623.559276267,62.310344018,933.198380567,126518.218623482,0.000000000,0.000000000
tx,996,5,938.490595800,0.441541591,1000.679731600,0.470800216,117782.454296043,55.414351758,937.853107345,117702.448210923,0.000000000,0.000000000
tx,1070,5,942.367587600,0.241940813,1000.494934000,0.256864046,110089.671433585,28.264094817,941.901408451,110035.211267606,0.000000000,0.000000000
tx,1144,5,945.921820000,0.340899856,1000.494232800,0.360566441,103356.842222045,37.248638341,945.454545455,103305.785123967,0.000000000,0.000000000
tx,1218,5,949.189408200,0.280618798,1000.623317000,0.295824868,97412.706076660,28.799143316,948.598130841,97352.024922118,0.000000000,0.000000000
tx,1292,5,951.815932400,0.239429016,1000.438108600,0.251659765,92087.454768192,23.164579434,951.399116348,92047.128129602,0.000000000,0.000000000
tx,1366,5,954.343417200,0.228574238,1000.453713800,0.239618222,87330.107709840,20.916392469,953.910614525,87290.502793296,0.000000000,0.000000000
tx,1440,5,956.770772200,0.067322245,1000.622765800,0.070407642,83053.018403383,5.843932681,956.175298805,83001.328021248,0.000000000,0.000000000
