test,payload_size,runs,avg_ms_mean,avg_ms_std,lost_pct_mean,lost_pct_std
rtt,256,5,1.315919156,0.005725076,0.000000000,0.000000000
rtt,330,5,1.318411255,0.003933207,0.000000000,0.000000000
rtt,404,5,1.319822996,0.006361710,0.000000000,0.000000000
rtt,478,5,1.324942432,0.006642662,0.000000000,0.000000000
rtt,552,5,1.337469754,0.004554271,0.000000000,0.000000000
rtt,626,5,1.347462314,0.007365979,0.000000000,0.000000000
rtt,700,5,1.363177917,0.004087300,0.000000000,0.000000000
rtt,774,5,1.349605067,0.007991152,0.000000000,0.000000000
rtt,848,5,1.365564506,0.018414122,0.000000000,0.000000000
rtt,922,5,1.381008453,0.005104478,0.000000000,0.000000000
rtt,996,5,1.373228231,0.005538814,0.000000000,0.000000000
rtt,1070,5,1.375393545,0.017214790,0.000000000,0.000000000
rtt,1144,5,1.394226126,0.024474361,0.000000000,0.000000000
rtt,1218,5,1.399193323,0.016441995,0.000000000,0.000000000
rtt,1292,5,1.409781975,0.022032288,0.000000000,0.000000000
rtt,1366,5,1.411659209,0.017037641,0.000000000,0.000000000
rtt,1440,5,1.401654497,0.015862583,0.000000000,0.000000000
