timestamp,iface,fpga_ip,fpga_ctrl_port,fpga_data_port,local_port,requested_packets,payload_size,sent_packets,send_errors,drained_packets,elapsed_s,payload_mbps,estimated_wire_mbps,iface_tx_packets_delta,iface_rx_packets_delta,iface_tx_bytes_delta,iface_rx_bytes_delta,iface_tx_errors_delta,iface_rx_errors_delta,iface_tx_dropped_delta,iface_rx_dropped_delta,ip_in_receives_delta,ip_in_discards_delta,ip_out_requests_delta,ip_out_discards_delta,udp_out_delta,udp_in_delta,udp_no_ports_delta,udp_in_errors_delta,udp_rcvbuf_errors_delta,udp_sndbuf_errors_delta,fpga_rx_good_delta,fpga_tx_good_delta,fpga_rx_bad_delta,fpga_tx_bad_delta,fpga_rx_overflow_delta,fpga_tx_overflow_delta,fpga_bad_fcs_delta,fpga_ip_rx_header_error_delta,fpga_ip_rx_payload_error_delta,fpga_ip_invalid_header_delta,fpga_ip_invalid_checksum_delta,fpga_ip_tx_payload_error_delta,fpga_ip_tx_arp_failed_delta,fpga_udp_rx_header_error_delta,fpga_udp_rx_payload_error_delta,fpga_udp_tx_payload_error_delta,host_tx_to_fpga_rx_gap,fpga_rx_to_tx_gap,fpga_tx_to_host_rx_gap
1781824960,eth0,192.168.1.12,55555,1234,9999,1000000,256,1000000,0,0,3.487420741,587.253490,738.654780,1000000,999714,298000000,283918776,0,0,0,0,999714,0,1000000,0,1000000,0,0,999616,999616,0,999714,999714,286,0,0,0,286,0,0,0,0,0,0,0,0,0,286,0,0
1781824966,eth0,192.168.1.12,55555,1234,9999,1000000,256,1000000,0,0,4.759090982,430.334282,541.279839,1000000,999795,298000000,283941780,0,0,0,0,999795,0,1000000,0,1000000,0,0,999697,999697,0,999795,999795,205,0,0,0,205,0,0,0,0,0,0,0,0,0,205,0,0
1781824971,eth0,192.168.1.12,55555,1234,9999,1000000,256,1000000,0,0,3.475657281,589.241066,741.154778,1000000,999739,298000000,283925876,0,0,0,0,999739,0,1000000,0,1000000,0,0,999641,999641,0,999739,999739,261,0,0,0,261,0,0,0,0,0,0,0,0,0,261,0,0
1781824975,eth0,192.168.1.12,55555,1234,9999,1000000,256,1000000,0,0,3.483444048,587.923897,739.498027,1000000,999769,298000000,283934396,0,0,0,0,999769,0,1000000,0,1000000,0,0,999671,999671,0,999769,999769,231,0,0,0,231,0,0,0,0,0,0,0,0,0,231,0,0
1781824981,eth0,192.168.1.12,55555,1234,9999,1000000,256,1000000,0,0,4.684758402,437.162352,549.868270,1000000,999767,298000000,283933828,0,0,0,0,999767,0,1000000,0,1000000,0,0,999669,999669,0,999767,999767,233,0,0,0,233,0,0,0,0,0,0,0,0,0,233,0,0
1781824986,eth0,192.168.1.12,55555,1234,9999,1000000,330,1000000,0,0,4.129429324,639.313521,767.176225,1000000,999944,372000000,357979952,0,0,0,0,999944,0,1000000,0,1000000,0,0,999846,999846,0,999944,999944,56,0,0,0,56,0,0,0,0,0,0,0,0,0,56,0,0
1781824991,eth0,192.168.1.12,55555,1234,9999,1000000,330,1000000,0,0,3.510124674,752.110037,902.532045,1000000,999943,372000000,357979594,0,0,0,0,999943,0,1000000,0,1000000,0,0,999845,999845,0,999943,999943,57,0,0,0,57,0,0,0,0,0,0,0,0,0,57,0,0
1781824997,eth0,192.168.1.12,55555,1234,9999,1000000,330,1000000,0,0,4.803186636,549.635107,659.562128,1000000,999976,372000000,357991408,0,0,0,0,999976,0,1000000,0,1000000,0,0,999878,999878,0,999976,999976,24,0,0,0,24,0,0,0,0,0,0,0,0,0,24,0,0
1781825002,eth0,192.168.1.12,55555,1234,9999,1000000,330,1000000,0,0,4.816692881,548.093903,657.712683,1000000,999967,372000000,357988186,0,0,0,0,999967,0,1000000,0,1000000,0,0,999869,999869,0,999967,999967,33,0,0,0,33,0,0,0,0,0,0,0,0,0,33,0,0
1781825007,eth0,192.168.1.12,55555,1234,9999,1000000,330,1000000,0,0,3.519041165,750.204353,900.245223,1000000,999937,372000000,357977446,0,0,0,0,999937,0,1000000,0,1000000,0,0,999839,999839,0,999937,999937,63,0,0,0,63,0,0,0,0,0,0,0,0,0,63,0,0
1781825012,eth0,192.168.1.12,55555,1234,9999,1000000,404,1000000,0,0,3.760000090,859.574448,999.999976,1000000,999921,446000000,431965872,0,0,0,0,999921,0,1000000,0,1000000,0,0,999823,999823,0,999921,999921,79,0,0,0,79,0,0,0,0,0,0,0,0,0,79,0,0
1781825017,eth0,192.168.1.12,55555,1234,9999,1000000,404,1000000,0,0,3.760000039,859.574459,999.999990,1000000,999909,446000000,431960688,0,0,0,0,999909,0,1000000,0,1000000,0,0,999811,999811,0,999909,999909,91,0,0,0,91,0,0,0,0,0,0,0,0,0,91,0,0
1781825022,eth0,192.168.1.12,55555,1234,9999,1000000,404,1000000,0,0,3.760000058,859.574455,999.999985,1000000,999916,446000000,431963712,0,0,0,0,999916,0,1000000,0,1000000,0,0,999818,999818,0,999916,999916,84,0,0,0,84,0,0,0,0,0,0,0,0,0,84,0,0
1781825026,eth0,192.168.1.12,55555,1234,9999,1000000,404,1000000,0,0,3.760000073,859.574451,999.999981,1000000,999915,446000000,431963280,0,0,0,0,999915,0,1000000,0,1000000,0,0,999817,999817,0,999915,999915,85,0,0,0,85,0,0,0,0,0,0,0,0,0,85,0,0
1781825032,eth0,192.168.1.12,55555,1234,9999,1000000,404,1000000,0,0,4.851909507,666.129489,774.952623,1000000,999907,446000000,431959824,0,0,0,0,999907,0,1000000,0,1000000,0,0,999809,999809,0,999907,999907,93,0,0,0,93,0,0,0,0,0,0,0,0,0,93,0,0
1781825038,eth0,192.168.1.12,55555,1234,9999,1000000,478,1000000,0,0,4.352000074,877.890040,999.104983,999105,998973,519534600,505480338,0,0,0,0,998973,0,1000000,895,999105,0,0,998875,998875,895,998973,998973,132,0,0,0,132,0,0,0,0,0,0,0,0,0,132,0,0
1781825043,eth0,192.168.1.12,55555,1234,9999,1000000,478,1000000,0,0,4.352000068,878.676457,999.999984,1000000,999890,520000000,505944340,0,0,0,0,999890,0,1000000,0,1000000,0,0,999792,999792,0,999890,999890,110,0,0,0,110,0,0,0,0,0,0,0,0,0,110,0,0
1781825049,eth0,192.168.1.12,55555,1234,9999,1000000,478,1000000,0,0,4.352000062,878.676458,999.999986,1000000,999883,520000000,505940798,0,0,0,0,999883,0,1000000,0,1000000,0,0,999785,999785,0,999883,999883,117,0,0,0,117,0,0,0,0,0,0,0,0,0,117,0,0
1781825054,eth0,192.168.1.12,55555,1234,9999,1000000,478,1000000,0,0,4.352000083,878.676454,999.999981,1000000,999882,520000000,505940292,0,0,0,0,999882,0,1000000,0,1000000,0,0,999784,999784,0,999882,999882,118,0,0,0,118,0,0,0,0,0,0,0,0,0,118,0,0
