timestamp,ip_in_receives,ip_in_hdr_errors,ip_in_addr_errors,ip_in_unknown_protos,ip_in_discards,ip_in_delivers,ip_out_requests,ip_out_discards,ip_out_no_routes,ip_reasm_reqds,ip_reasm_oks,ip_reasm_fails,udp_in_datagrams,udp_no_ports,udp_in_errors,udp_out_datagrams,udp_rcvbuf_errors,udp_sndbuf_errors,udp_in_csum_errors,udp_ignored_multi,udp_mem_errors
1781887024,85599,0,0,0,0,85599,85814,0,0,0,0,0,85599,0,0,85814,0,0,0,0,0
1781887027,1085538,0,0,0,0,1085538,1085814,0,0,0,0,0,85599,0,958351,1085814,958351,0,0,0,0
1781887028,1085544,0,0,0,0,1085544,1085822,0,0,0,0,0,85605,0,958351,1085822,958351,0,0,0,0
1781887031,2085482,0,0,0,0,2085482,2085822,0,0,0,0,0,85605,0,1916701,2085822,1916701,0,0,0,0
1781887032,2085488,0,0,0,0,2085488,2085830,0,0,0,0,0,85611,0,1916701,2085830,1916701,0,0,0,0
1781887034,3085445,0,0,0,0,3085445,3085830,0,0,0,0,0,85611,0,2875070,3085830,2875070,0,0,0,0
1781887035,3085451,0,0,0,0,3085451,3085838,0,0,0,0,0,85617,0,2875070,3085838,2875070,0,0,0,0
1781887038,4085388,0,0,0,0,4085388,4085838,0,0,0,0,0,85617,0,3833419,4085838,3833419,0,0,0,0
1781887039,4085394,0,0,0,0,4085394,4085846,0,0,0,0,0,85623,0,3833419,4085846,3833419,0,0,0,0
1781887042,5085341,0,0,0,0,5085341,5085846,0,0,0,0,0,85623,0,4791778,5085846,4791778,0,0,0,0
1781887043,5085347,0,0,0,0,5085347,5085854,0,0,0,0,0,85629,0,4791778,5085854,4791778,0,0,0,0
1781887046,6085249,0,0,0,0,6085249,6085854,0,0,0,0,0,85629,0,5778406,6085854,5778406,0,0,0,0
1781887047,6085255,0,0,0,0,6085255,6085862,0,0,0,0,0,85635,0,5778406,6085862,5778406,0,0,0,0
1781887050,7085193,0,0,0,0,7085193,7085862,0,0,0,0,0,85635,0,6765070,7085862,6765070,0,0,0,0
1781887051,7085199,0,0,0,0,7085199,7085870,0,0,0,0,0,85641,0,6765070,7085870,6765070,0,0,0,0
1781887054,8085147,0,0,0,0,8085147,8085870,0,0,0,0,0,85641,0,7751744,8085870,7751744,0,0,0,0
1781887055,8085153,0,0,0,0,8085153,8085878,0,0,0,0,0,85647,0,7751744,8085878,7751744,0,0,0,0
1781887059,9085099,0,0,0,0,9085099,9085878,0,0,0,0,0,85647,0,8738416,9085878,8738416,0,0,0,0
1781887060,9085105,0,0,0,0,9085105,9085886,0,0,0,0,0,85653,0,8738416,9085886,8738416,0,0,0,0
1781887063,10085022,0,0,0,0,10085022,10085886,0,0,0,0,0,85653,0,9725059,10085886,9725059,0,0,0,0
1781887064,10085028,0,0,0,0,10085028,10085894,0,0,0,0,0,85659,0,9725059,10085894,9725059,0,0,0,0
1781887068,11084980,0,0,0,0,11084980,11085894,0,0,0,0,0,85659,0,10711737,11085894,10711737,0,0,0,0
1781887069,11084986,0,0,0,0,11084986,11085902,0,0,0,0,0,85665,0,10711737,11085902,10711737,0,0,0,0
1781887072,12084951,0,0,0,0,12084951,12085902,0,0,0,0,0,85665,0,11698428,12085902,11698428,0,0,0,0
1781887073,12084957,0,0,0,0,12084957,12085910,0,0,0,0,0,85671,0,11698428,12085910,11698428,0,0,0,0
1781887077,13084900,0,0,0,0,13084900,13085910,0,0,0,0,0,85671,0,12685097,13085910,12685097,0,0,0,0
1781887078,13084906,0,0,0,0,13084906,13085918,0,0,0,0,0,85677,0,12685097,13085918,12685097,0,0,0,0
1781887082,14084840,0,0,0,0,14084840,14085918,0,0,0,0,0,85677,0,13671757,14085918,13671757,0,0,0,0
1781887083,14084846,0,0,0,0,14084846,14085926,0,0,0,0,0,85683,0,13671757,14085926,13671757,0,0,0,0
1781887087,15084772,0,0,0,0,15084772,15085926,0,0,0,0,0,85683,0,14658409,15085926,14658409,0,0,0,0
1781887088,15084778,0,0,0,0,15084778,15085934,0,0,0,0,0,85689,0,14658409,15085934,14658409,0,0,0,0
1781887092,16084618,0,0,0,0,16084618,16085934,0,0,0,0,0,85689,0,15644975,16085934,15644975,0,0,0,0
1781887093,16084624,0,0,0,0,16084624,16085942,0,0,0,0,0,85695,0,15644975,16085942,15644975,0,0,0,0
1781887098,17084498,0,0,0,0,17084498,17085942,0,0,0,0,0,85695,0,16631575,17085942,16631575,0,0,0,0
1781887099,17084504,0,0,0,0,17084504,17085950,0,0,0,0,0,85701,0,16631575,17085950,16631575,0,0,0,0
1781887103,18084353,0,0,0,0,18084353,18085950,0,0,0,0,0,85701,0,17618150,18085950,17618150,0,0,0,0
1781887104,18084359,0,0,0,0,18084359,18085958,0,0,0,0,0,85707,0,17618150,18085958,17618150,0,0,0,0
1781887108,19084221,0,0,0,0,19084221,19085958,0,0,0,0,0,85707,0,18604738,19085958,18604738,0,0,0,0
1781887109,19084227,0,0,0,0,19084227,19085966,0,0,0,0,0,85713,0,18604738,19085966,18604738,0,0,0,0
1781887114,20084044,0,0,0,0,20084044,20085966,0,0,0,0,0,85713,0,19591281,20085966,19591281,0,0,0,0
1781887115,20084050,0,0,0,0,20084050,20085974,0,0,0,0,0,85719,0,19591281,20085974,19591281,0,0,0,0
1781887120,21083840,0,0,0,0,21083840,21085974,0,0,0,0,0,85719,0,20577797,21085974,20577797,0,0,0,0
1781887121,21083846,0,0,0,0,21083846,21085982,0,0,0,0,0,85725,0,20577797,21085982,20577797,0,0,0,0
1781887126,22083681,0,0,0,0,22083681,22085982,0,0,0,0,0,85725,0,21564358,22085982,21564358,0,0,0,0
1781887127,22083687,0,0,0,0,22083687,22085990,0,0,0,0,0,85731,0,21564358,22085990,21564358,0,0,0,0
1781887132,23083513,0,0,0,0,23083513,23085990,0,0,0,0,0,85731,0,22550910,23085990,22550910,0,0,0,0
1781887133,23083519,0,0,0,0,23083519,23085998,0,0,0,0,0,85737,0,22550910,23085998,22550910,0,0,0,0
1781887138,24083357,0,0,0,0,24083357,24085998,0,0,0,0,0,85737,0,23537474,24085998,23537474,0,0,0,0
1781887139,24083363,0,0,0,0,24083363,24086006,0,0,0,0,0,85743,0,23537474,24086006,23537474,0,0,0,0
1781887144,25083169,0,0,0,0,25083169,25086006,0,0,0,0,0,85743,0,24524006,25086006,24524006,0,0,0,0
1781887145,25083175,0,0,0,0,25083175,25086014,0,0,0,0,0,85749,0,24524006,25086014,24524006,0,0,0,0
1781887150,26082982,0,0,0,0,26082982,26086014,0,0,0,0,0,85749,0,25510539,26086014,25510539,0,0,0,0
1781887151,26082988,0,0,0,0,26082988,26086022,0,0,0,0,0,85755,0,25510539,26086022,25510539,0,0,0,0
1781887157,27082804,0,0,0,0,27082804,27086022,0,0,0,0,0,85755,0,26497081,27086022,26497081,0,0,0,0
1781887158,27082810,0,0,0,0,27082810,27086030,0,0,0,0,0,85761,0,26497081,27086030,26497081,0,0,0,0
1781887164,28082589,0,0,0,0,28082589,28086030,0,0,0,0,0,85761,0,27483586,28086030,27483586,0,0,0,0
1781887165,28082595,0,0,0,0,28082595,28086038,0,0,0,0,0,85767,0,27483586,28086038,27483586,0,0,0,0
1781887170,29082466,0,0,0,0,29082466,29086038,0,0,0,0,0,85767,0,28470183,29086038,28470183,0,0,0,0
1781887171,29082472,0,0,0,0,29082472,29086046,0,0,0,0,0,85773,0,28470183,29086046,28470183,0,0,0,0
1781887177,30082265,0,0,0,0,30082265,30086046,0,0,0,0,0,85773,0,29456702,30086046,29456702,0,0,0,0
1781887178,30082271,0,0,0,0,30082271,30086054,0,0,0,0,0,85779,0,29456702,30086054,29456702,0,0,0,0
1781887184,31082114,0,0,0,0,31082114,31086054,0,0,0,0,0,85779,0,30443271,31086054,30443271,0,0,0,0
1781887185,31082120,0,0,0,0,31082120,31086062,0,0,0,0,0,85785,0,30443271,31086062,30443271,0,0,0,0
1781887191,32081927,0,0,0,0,32081927,32086062,0,0,0,0,0,85785,0,31429804,32086062,31429804,0,0,0,0
1781887192,32081933,0,0,0,0,32081933,32086070,0,0,0,0,0,85791,0,31429804,32086070,31429804,0,0,0,0
1781887198,33081728,0,0,0,0,33081728,33086070,0,0,0,0,0,85791,0,32416325,33086070,32416325,0,0,0,0
1781887199,33081734,0,0,0,0,33081734,33086078,0,0,0,0,0,85797,0,32416325,33086078,32416325,0,0,0,0
1781887206,34081578,0,0,0,0,34081578,34086078,0,0,0,0,0,85797,0,33402895,34086078,33402895,0,0,0,0
1781887207,34081584,0,0,0,0,34081584,34086086,0,0,0,0,0,85803,0,33402895,34086086,33402895,0,0,0,0
1781887213,35081406,0,0,0,0,35081406,35086086,0,0,0,0,0,85803,0,34389443,35086086,34389443,0,0,0,0
1781887214,35081412,0,0,0,0,35081412,35086094,0,0,0,0,0,85809,0,34389443,35086094,34389443,0,0,0,0
1781887221,36081346,0,0,0,0,36081346,36086094,0,0,0,0,0,85809,0,35376103,36086094,35376103,0,0,0,0
1781887222,36081352,0,0,0,0,36081352,36086102,0,0,0,0,0,85815,0,35376103,36086102,35376103,0,0,0,0
1781887228,37081273,0,0,0,0,37081273,37086102,0,0,0,0,0,85815,0,36362750,37086102,36362750,0,0,0,0
1781887229,37081279,0,0,0,0,37081279,37086110,0,0,0,0,0,85821,0,36362750,37086110,36362750,0,0,0,0
1781887236,38081206,0,0,0,0,38081206,38086110,0,0,0,0,0,85821,0,37349403,38086110,37349403,0,0,0,0
1781887237,38081212,0,0,0,0,38081212,38086118,0,0,0,0,0,85827,0,37349403,38086118,37349403,0,0,0,0
1781887244,39081148,0,0,0,0,39081148,39086118,0,0,0,0,0,85827,0,38336065,39086118,38336065,0,0,0,0
1781887245,39081154,0,0,0,0,39081154,39086126,0,0,0,0,0,85833,0,38336065,39086126,38336065,0,0,0,0
1781887252,40081077,0,0,0,0,40081077,40086126,0,0,0,0,0,85833,0,39322714,40086126,39322714,0,0,0,0
1781887253,40081083,0,0,0,0,40081083,40086134,0,0,0,0,0,85839,0,39322714,40086134,39322714,0,0,0,0
1781887260,41080907,0,0,0,0,41080907,41086134,0,0,0,0,0,85839,0,40309264,41086134,40309264,0,0,0,0
1781887261,41080913,0,0,0,0,41080913,41086142,0,0,0,0,0,85845,0,40309264,41086142,40309264,0,0,0,0
1781887268,42080769,0,0,0,0,42080769,42086142,0,0,0,0,0,85845,0,41295846,42086142,41295846,0,0,0,0
1781887269,42080775,0,0,0,0,42080775,42086150,0,0,0,0,0,85851,0,41295846,42086150,41295846,0,0,0,0
1781887277,43080620,0,0,0,0,43080620,43086150,0,0,0,0,0,85851,0,42282417,43086150,42282417,0,0,0,0
1781887278,43080626,0,0,0,0,43080626,43086158,0,0,0,0,0,85857,0,42282417,43086158,42282417,0,0,0,0
1781887285,44080450,0,0,0,0,44080450,44086158,0,0,0,0,0,85857,0,43268967,44086158,43268967,0,0,0,0
1781887286,44080456,0,0,0,0,44080456,44086166,0,0,0,0,0,85863,0,43268967,44086166,43268967,0,0,0,0
1781887293,45080311,0,0,0,0,45080311,45086166,0,0,0,0,0,85863,0,44255548,45086166,44255548,0,0,0,0
1781887295,45080317,0,0,0,0,45080317,45086174,0,0,0,0,0,85869,0,44255548,45086174,44255548,0,0,0,0
1781887302,46080120,0,0,0,0,46080120,46086174,0,0,0,0,0,85869,0,45242077,46086174,45242077,0,0,0,0
1781887303,46080126,0,0,0,0,46080126,46086182,0,0,0,0,0,85875,0,45242077,46086182,45242077,0,0,0,0
1781887311,47079943,0,0,0,0,47079943,47086182,0,0,0,0,0,85875,0,46228620,47086182,46228620,0,0,0,0
1781887312,47079949,0,0,0,0,47079949,47086190,0,0,0,0,0,85881,0,46228620,47086190,46228620,0,0,0,0
1781887320,48079770,0,0,0,0,48079770,48086190,0,0,0,0,0,85881,0,47215167,48086190,47215167,0,0,0,0
1781887321,48079776,0,0,0,0,48079776,48086198,0,0,0,0,0,85887,0,47215167,48086198,47215167,0,0,0,0
1781887329,49079608,0,0,0,0,49079608,49086198,0,0,0,0,0,85887,0,48201725,49086198,48201725,0,0,0,0
1781887330,49079614,0,0,0,0,49079614,49086206,0,0,0,0,0,85893,0,48201725,49086206,48201725,0,0,0,0
1781887338,50079410,0,0,0,0,50079410,50086206,0,0,0,0,0,85893,0,49188247,50086206,49188247,0,0,0,0
1781887339,50079416,0,0,0,0,50079416,50086214,0,0,0,0,0,85899,0,49188247,50086214,49188247,0,0,0,0
1781887348,51079240,0,0,0,0,51079240,51086214,0,0,0,0,0,85899,0,50174797,51086214,50174797,0,0,0,0
1781887349,51079246,0,0,0,0,51079246,51086222,0,0,0,0,0,85905,0,50174797,51086222,50174797,0,0,0,0
1781887357,52079078,0,0,0,0,52079078,52086222,0,0,0,0,0,85905,0,51161355,52086222,51161355,0,0,0,0
1781887358,52079084,0,0,0,0,52079084,52086230,0,0,0,0,0,85911,0,51161355,52086230,51161355,0,0,0,0
1781887367,53078891,0,0,0,0,53078891,53086230,0,0,0,0,0,85911,0,52147888,53086230,52147888,0,0,0,0
1781887368,53078897,0,0,0,0,53078897,53086238,0,0,0,0,0,85917,0,52147888,53086238,52147888,0,0,0,0
1781887377,54078672,0,0,0,0,54078672,54086238,0,0,0,0,0,85917,0,53134389,54086238,53134389,0,0,0,0
1781887378,54078678,0,0,0,0,54078678,54086246,0,0,0,0,0,85923,0,53134389,54086246,53134389,0,0,0,0
1781887386,55078551,0,0,0,0,55078551,55086246,0,0,0,0,0,85923,0,54120988,55086246,54120988,0,0,0,0
1781887387,55078557,0,0,0,0,55078557,55086254,0,0,0,0,0,85929,0,54120988,55086254,54120988,0,0,0,0
1781887396,56078442,0,0,0,0,56078442,56086254,0,0,0,0,0,85929,0,55107599,56086254,55107599,0,0,0,0
1781887397,56078448,0,0,0,0,56078448,56086262,0,0,0,0,0,85935,0,55107599,56086262,55107599,0,0,0,0
1781887406,57078309,0,0,0,0,57078309,57086262,0,0,0,0,0,85935,0,56094186,57086262,56094186,0,0,0,0
1781887407,57078315,0,0,0,0,57078315,57086270,0,0,0,0,0,85941,0,56094186,57086270,56094186,0,0,0,0
1781887417,58078123,0,0,0,0,58078123,58086270,0,0,0,0,0,85941,0,57080720,58086270,57080720,0,0,0,0
1781887418,58078129,0,0,0,0,58078129,58086278,0,0,0,0,0,85947,0,57080720,58086278,57080720,0,0,0,0
1781887427,59077970,0,0,0,0,59077970,59086278,0,0,0,0,0,85947,0,58067287,59086278,58067287,0,0,0,0
1781887428,59077976,0,0,0,0,59077976,59086286,0,0,0,0,0,85953,0,58067287,59086286,58067287,0,0,0,0
1781887437,60077806,0,0,0,0,60077806,60086286,0,0,0,0,0,85953,0,59053843,60086286,59053843,0,0,0,0
1781887438,60077812,0,0,0,0,60077812,60086294,0,0,0,0,0,85959,0,59053843,60086294,59053843,0,0,0,0
1781887448,61077698,0,0,0,0,61077698,61086294,0,0,0,0,0,85959,0,60040455,61086294,60040455,0,0,0,0
1781887449,61077704,0,0,0,0,61077704,61086302,0,0,0,0,0,85965,0,60040455,61086302,60040455,0,0,0,0
1781887458,62077601,0,0,0,0,62077601,62086302,0,0,0,0,0,85965,0,61027078,62086302,61027078,0,0,0,0
1781887459,62077607,0,0,0,0,62077607,62086310,0,0,0,0,0,85971,0,61027078,62086310,61027078,0,0,0,0
1781887469,63077481,0,0,0,0,63077481,63086310,0,0,0,0,0,85971,0,62013678,63086310,62013678,0,0,0,0
1781887470,63077487,0,0,0,0,63077487,63086318,0,0,0,0,0,85977,0,62013678,63086318,62013678,0,0,0,0
1781887480,64077370,0,0,0,0,64077370,64086318,0,0,0,0,0,85977,0,63000287,64086318,63000287,0,0,0,0
1781887481,64077376,0,0,0,0,64077376,64086326,0,0,0,0,0,85983,0,63000287,64086326,63000287,0,0,0,0
