timestamp,test,payload_size,run,packets,returncode,command
1782426862,rtt,256,1,1000,0,/root/etherbench/etherbench fpga-rtt 192.168.1.12 1000 256 1234 9999 55555
1782426863,rtt,256,2,1000,0,/root/etherbench/etherbench fpga-rtt 192.168.1.12 1000 256 1234 9999 55555
1782426864,rtt,256,3,1000,0,/root/etherbench/etherbench fpga-rtt 192.168.1.12 1000 256 1234 9999 55555
1782426866,rtt,256,4,1000,0,/root/etherbench/etherbench fpga-rtt 192.168.1.12 1000 256 1234 9999 55555
1782426867,rtt,256,5,1000,0,/root/etherbench/etherbench fpga-rtt 192.168.1.12 1000 256 1234 9999 55555
1782426868,rtt,256,6,1000,0,/root/etherbench/etherbench fpga-rtt 192.168.1.12 1000 256 1234 9999 55555
1782426869,rtt,256,7,1000,0,/root/etherbench/etherbench fpga-rtt 192.168.1.12 1000 256 1234 9999 55555
1782426870,rtt,256,8,1000,0,/root/etherbench/etherbench fpga-rtt 192.168.1.12 1000 256 1234 9999 55555
1782426871,rtt,256,9,1000,0,/root/etherbench/etherbench fpga-rtt 192.168.1.12 1000 256 1234 9999 55555
1782426872,rtt,256,10,1000,0,/root/etherbench/etherbench fpga-rtt 192.168.1.12 1000 256 1234 9999 55555
1782426873,rtt,320,1,1000,0,/root/etherbench/etherbench fpga-rtt 192.168.1.12 1000 320 1234 9999 55555
1782426874,rtt,320,2,1000,0,/root/etherbench/etherbench fpga-rtt 192.168.1.12 1000 320 1234 9999 55555
1782426875,rtt,320,3,1000,0,/root/etherbench/etherbench fpga-rtt 192.168.1.12 1000 320 1234 9999 55555
1782426876,rtt,320,4,1000,0,/root/etherbench/etherbench fpga-rtt 192.168.1.12 1000 320 1234 9999 55555
1782426877,rtt,320,5,1000,0,/root/etherbench/etherbench fpga-rtt 192.168.1.12 1000 320 1234 9999 55555
1782426878,rtt,320,6,1000,0,/root/etherbench/etherbench fpga-rtt 192.168.1.12 1000 320 1234 9999 55555
1782426879,rtt,320,7,1000,0,/root/etherbench/etherbench fpga-rtt 192.168.1.12 1000 320 1234 9999 55555
1782426880,rtt,320,8,1000,0,/root/etherbench/etherbench fpga-rtt 192.168.1.12 1000 320 1234 9999 55555
1782426881,rtt,320,9,1000,0,/root/etherbench/etherbench fpga-rtt 192.168.1.12 1000 320 1234 9999 55555
1782426882,rtt,320,10,1000,0,/root/etherbench/etherbench fpga-rtt 192.168.1.12 1000 320 1234 9999 55555
1782426883,rtt,384,1,1000,0,/root/etherbench/etherbench fpga-rtt 192.168.1.12 1000 384 1234 9999 55555
1782426884,rtt,384,2,1000,0,/root/etherbench/etherbench fpga-rtt 192.168.1.12 1000 384 1234 9999 55555
1782426885,rtt,384,3,1000,0,/root/etherbench/etherbench fpga-rtt 192.168.1.12 1000 384 1234 9999 55555
1782426886,rtt,384,4,1000,0,/root/etherbench/etherbench fpga-rtt 192.168.1.12 1000 384 1234 9999 55555
1782426887,rtt,384,5,1000,0,/root/etherbench/etherbench fpga-rtt 192.168.1.12 1000 384 1234 9999 55555
1782426888,rtt,384,6,1000,0,/root/etherbench/etherbench fpga-rtt 192.168.1.12 1000 384 1234 9999 55555
1782426890,rtt,384,7,1000,0,/root/etherbench/etherbench fpga-rtt 192.168.1.12 1000 384 1234 9999 55555
1782426891,rtt,384,8,1000,0,/root/etherbench/etherbench fpga-rtt 192.168.1.12 1000 384 1234 9999 55555
1782426892,rtt,384,9,1000,0,/root/etherbench/etherbench fpga-rtt 192.168.1.12 1000 384 1234 9999 55555
1782426893,rtt,384,10,1000,0,/root/etherbench/etherbench fpga-rtt 192.168.1.12 1000 384 1234 9999 55555
1782426894,rtt,448,1,1000,0,/root/etherbench/etherbench fpga-rtt 192.168.1.12 1000 448 1234 9999 55555
1782426895,rtt,448,2,1000,0,/root/etherbench/etherbench fpga-rtt 192.168.1.12 1000 448 1234 9999 55555
1782426896,rtt,448,3,1000,0,/root/etherbench/etherbench fpga-rtt 192.168.1.12 1000 448 1234 9999 55555
1782426897,rtt,448,4,1000,0,/root/etherbench/etherbench fpga-rtt 192.168.1.12 1000 448 1234 9999 55555
1782426898,rtt,448,5,1000,0,/root/etherbench/etherbench fpga-rtt 192.168.1.12 1000 448 1234 9999 55555
